github.com/Masterminds/semver/v3	v3.1.1
github.com/cockroachdb/apd	v1.1.0
github.com/davecgh/go-spew	v1.1.1
github.com/fergusstrange/embedded-postgres	v1.12.0
github.com/fsnotify/fsnotify	v1.4.9
github.com/gofrs/uuid	v4.0.0%2Bincompatible
github.com/iancoleman/strcase	v0.2.0
github.com/jackc/chunkreader/v2	v2.0.1
github.com/jackc/pgconn	v1.10.1
github.com/jackc/pgio	v1.0.0
github.com/jackc/pgmock	v0.0.0-20210724152146-4ad1a8207f65
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgproto3/v2	v2.2.0
github.com/jackc/pgservicefile	v0.0.0-20200714003250-2b9c44734f2b
github.com/jackc/pgtype	v1.9.1
github.com/jackc/pgx/v4	v4.14.1
github.com/jinzhu/inflection	v1.0.0
github.com/jinzhu/now	v1.1.4
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/lib/pq	v1.10.4
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.4
github.com/onsi/gomega	v1.16.0
github.com/pkg/errors	v0.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/shopspring/decimal	v1.2.0
github.com/stretchr/testify	v1.7.0
github.com/xi2/xz	v0.0.0-20171230120015-48954b6210f8
golang.org/x/crypto	v0.0.0-20211215153901-e495a2d5b3d3
golang.org/x/net	v0.0.0-20211112202133-69e39bad7dc2
golang.org/x/sys	v0.0.0-20210615035016-665e8c7367d1
golang.org/x/text	v0.3.7
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
gorm.io/driver/postgres	v1.2.3
gorm.io/gorm	v1.22.4
