github.com/viant/dsc
cloud.google.com/go/compute/metadata v0.2.0
github.com/Azure/azure-sdk-for-go/sdk/azcore v0.19.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity v0.11.0
github.com/Azure/azure-sdk-for-go/sdk/internal v0.7.0
github.com/davecgh/go-spew v1.1.1
github.com/denisenkom/go-mssqldb v0.12.3
github.com/dnaeon/go-vcr v1.2.0
github.com/go-errors/errors v1.4.2
github.com/go-sql-driver/mysql v1.7.0
github.com/golang-sql/civil v0.0.0-20190719163853-cb61b32ac6fe
github.com/golang-sql/sqlexp v0.1.0
github.com/golang/protobuf v1.5.2
github.com/google/go-cmp v0.5.8
github.com/lunixbochs/vtclean v1.0.0
github.com/mattn/go-sqlite3 v1.14.16
github.com/modocache/gover v0.0.0-20171022184752-b58185e213c5
github.com/pkg/browser v0.0.0-20180916011732-0a3d74bf9ce4
github.com/pkg/errors v0.9.1
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/objx v0.5.0
github.com/stretchr/testify v1.8.1
github.com/viant/assertly v0.9.0
github.com/viant/dsunit v0.10.10
github.com/viant/toolbox v0.34.5
golang.org/x/crypto v0.0.0-20220622213112-05595931fe9d
golang.org/x/net v0.6.0
golang.org/x/oauth2 v0.5.0
golang.org/x/sys v0.5.0
golang.org/x/term v0.5.0
golang.org/x/text v0.7.0
golang.org/x/tools v0.0.0-20180917221912-90fa682c2a6e
golang.org/x/xerrors v0.0.0-20191204190536-9bdfabe68543
google.golang.org/appengine v1.6.7
google.golang.org/protobuf v1.28.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2 v2.4.0
gopkg.in/yaml.v3 v3.0.1
