github.com/Mutasem-mk4/procscope
cloud.google.com/go/compute/metadata v0.3.0
github.com/NYTimes/gziphandler v1.1.1
github.com/cilium/ebpf v0.21.0
github.com/containerd/stargz-snapshotter/estargz v0.16.3
github.com/cpuguy83/go-md2man/v2 v2.0.6
github.com/davecgh/go-spew v1.1.2-0.20180830191138-d8f796af33cc
github.com/docker/cli v29.2.0+incompatible
github.com/docker/distribution v2.8.3+incompatible
github.com/docker/docker-credential-helpers v0.9.3
github.com/emicklei/go-restful/v3 v3.13.0
github.com/fxamacker/cbor/v2 v2.9.1
github.com/go-logr/logr v1.4.3
github.com/go-openapi/jsonpointer v0.23.1
github.com/go-openapi/jsonreference v0.21.5
github.com/go-openapi/swag v0.26.0
github.com/go-openapi/swag/cmdutils v0.26.0
github.com/go-openapi/swag/conv v0.26.0
github.com/go-openapi/swag/fileutils v0.26.0
github.com/go-openapi/swag/jsonname v0.26.0
github.com/go-openapi/swag/jsonutils v0.26.0
github.com/go-openapi/swag/jsonutils/fixtures_test v0.26.0
github.com/go-openapi/swag/loading v0.26.0
github.com/go-openapi/swag/mangling v0.26.0
github.com/go-openapi/swag/netutils v0.26.0
github.com/go-openapi/swag/stringutils v0.26.0
github.com/go-openapi/swag/typeutils v0.26.0
github.com/go-openapi/swag/yamlutils v0.26.0
github.com/go-openapi/testify/enable/yaml/v2 v2.4.2
github.com/go-openapi/testify/v2 v2.4.2
github.com/go-quicktest/qt v1.101.1-0.20240301121107-c6c8733fa1e6
github.com/golang/protobuf v1.5.0
github.com/google/btree v1.1.3
github.com/google/gnostic-models v0.7.1
github.com/google/go-cmp v0.7.0
github.com/google/go-containerregistry v0.20.6
github.com/google/gofuzz v1.0.0
github.com/google/uuid v1.6.0
github.com/gorilla/websocket v1.5.4-0.20250319132907-e064f32e3674
github.com/inconshreveable/mousetrap v1.1.0
github.com/josharian/intern v1.0.0
github.com/josharian/native v1.1.0
github.com/jsimonetti/rtnetlink/v2 v2.0.1
github.com/json-iterator/go v1.1.12
github.com/klauspost/compress v1.18.0
github.com/kr/pretty v0.3.1
github.com/kr/text v0.2.0
github.com/mailru/easyjson v0.7.7
github.com/mdlayher/netlink v1.7.2
github.com/mdlayher/socket v0.5.1
github.com/mitchellh/go-homedir v1.1.0
github.com/moby/spdystream v0.5.1
github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2 v1.0.3-0.20250322232337-35a7c28c31ee
github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
github.com/mxk/go-flowrate v0.0.0-20140419014527-cca7078d478f
github.com/opencontainers/go-digest v1.0.0
github.com/opencontainers/image-spec v1.1.1
github.com/peterbourgon/diskv v2.0.1+incompatible
github.com/pmezard/go-difflib v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/rogpeppe/go-internal v1.14.1
github.com/russross/blackfriday/v2 v2.1.0
github.com/sirupsen/logrus v1.9.3
github.com/spf13/cobra v1.10.2
github.com/spf13/pflag v1.0.10
github.com/stretchr/objx v0.5.2
github.com/stretchr/testify v1.11.1
github.com/vbatts/tar-split v0.12.1
github.com/x448/float16 v0.8.4
go.uber.org/goleak v1.3.0
go.yaml.in/yaml/v2 v2.4.4
go.yaml.in/yaml/v3 v3.0.4
golang.org/x/crypto v0.50.0
golang.org/x/mod v0.34.0
golang.org/x/net v0.53.0
golang.org/x/oauth2 v0.36.0
golang.org/x/sync v0.20.0
golang.org/x/sys v0.44.0
golang.org/x/term v0.42.0
golang.org/x/text v0.36.0
golang.org/x/time v0.15.0
golang.org/x/tools v0.43.0
golang.org/x/tools/go/expect v0.1.0-deprecated
golang.org/x/tools/go/packages/packagestest v0.1.1-deprecated
google.golang.org/protobuf v1.36.12-0.20260120151049-f2248ac996af
gopkg.in/check.v1 v1.0.0-20201130134442-10cb98267c6c
gopkg.in/evanphx/json-patch.v4 v4.13.0
gopkg.in/inf.v0 v0.9.1
gopkg.in/yaml.v3 v3.0.1
gotest.tools/v3 v3.5.0
k8s.io/api v0.36.1
k8s.io/apimachinery v0.36.1
k8s.io/client-go v0.36.1
k8s.io/gengo/v2 v2.0.0-20250604051438-85fd79dbfd9f
k8s.io/klog/v2 v2.140.0
k8s.io/kube-openapi v0.0.0-20260414162039-ec9c827d403f
k8s.io/streaming v0.36.1
k8s.io/utils v0.0.0-20260319190234-28399d86e0b5
sigs.k8s.io/json v0.0.0-20250730193827-2d320260d730
sigs.k8s.io/randfill v1.0.0
sigs.k8s.io/structured-merge-diff/v6 v6.4.0
sigs.k8s.io/yaml v1.6.0
