git.sr.ht/~sbinet/gg	v0.5.0
github.com/ajstarks/svgo	v0.0.0-20211024235047-1546f124cd8b
github.com/go-fonts/liberation	v0.3.2
github.com/go-latex/latex	v0.0.0-20231108140139-5c1ce85aa4ea
github.com/go-pdf/fpdf	v0.9.0
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/milosgajdos/matrix	v0.0.2
golang.org/x/exp	v0.0.0-20231110203233-9a3e6036ecaa
golang.org/x/image	v0.18.0
golang.org/x/text	v0.16.0
golang.org/x/tools	v0.21.1-0.20240508182429-e35e4ccd0d2d
gonum.org/v1/gonum	v0.15.1
gonum.org/v1/plot	v0.14.0
