github.com/asticode/go-astikit	v0.20.0
github.com/asticode/go-astits	v1.8.0
github.com/davecgh/go-spew	v1.1.0
github.com/pkg/profile	v1.4.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.4.0
golang.org/x/crypto	v0.0.0-20200622213623-75b288015ac9
golang.org/x/net	v0.0.0-20200904194848-62affa334b73
golang.org/x/sys	v0.0.0-20200323222414-85ca7c5b95cd
golang.org/x/text	v0.3.2
golang.org/x/tools	v0.0.0-20180917221912-90fa682c2a6e
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.2
