github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.3.2-0.20160816051541-f12c6236fe7b
github.com/go-sql-driver/mysql	v1.2.1-0.20160802113842-0b58b37b664c
github.com/hashicorp/hcl	v0.0.0-20160916130100-ef8133da8cda
github.com/kardianos/osext	v0.0.0-20160811001526-c2c54e542fb7
github.com/kr/fs	v0.0.0-20131111012553-2788f0dbd169
github.com/lib/pq	v1.10.7
github.com/magiconair/properties	v1.7.1-0.20160908093658-0723e352fa35
github.com/mattn/go-sqlite3	v1.14.16
github.com/mitchellh/mapstructure	v0.0.0-20160808181253-ca63d7c062ee
github.com/pelletier/go-buffruneio	v0.1.0
github.com/pelletier/go-toml	v0.3.6-0.20160920070715-45932ad32dfd
github.com/pkg/errors	v0.7.2-0.20160916110212-a887431f7f6e
github.com/pkg/sftp	v0.0.0-20160908100035-8197a2e58073
github.com/rubenv/sql-migrate	v0.0.0-20160620083229-6f4757563362
github.com/smartthingsoss/frigga-go	v0.0.0-20180827230714-55b2c36db3e7
github.com/spf13/afero	v0.0.0-20160919210114-52e4a6cfac46
github.com/spf13/cast	v0.0.0-20160926084249-2580bc98dc0e
github.com/spf13/jwalterweatherman	v0.0.0-20160311093646-33c24e77fb80
github.com/spf13/pflag	v0.0.0-20160915153101-c7e63cf4530b
github.com/spf13/viper	v0.0.0-20160926150402-382f87b929b8
github.com/stretchr/testify	v1.8.1
github.com/ziutek/mymysql	v1.5.4
golang.org/x/crypto	v0.0.0-20160922170629-8e06e8ddd962
golang.org/x/sys	v0.5.0
golang.org/x/text	v0.9.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/gorp.v1	v1.7.1
gopkg.in/yaml.v2	v2.0.0-20160912165603-31c299268d30
