github.com/EngoEngine/ecs	v1.0.5
github.com/EngoEngine/gl	v1.0.14
github.com/EngoEngine/math	v1.0.4
github.com/Noofbiz/tmx	v0.2.0
github.com/go-bindata/go-bindata	v3.1.2%2Bincompatible
github.com/go-gl/gl	v0.0.0-20211210172815-726fda9656d6
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20221017161538-93cebf72946b
github.com/golang/freetype	v0.0.0-20170609003504-e2365dfdc4a0
github.com/hajimehoshi/go-mp3	v0.3.2
github.com/hajimehoshi/oto	v0.7.1
github.com/jfreymuth/oggvorbis	v1.0.3
github.com/jfreymuth/vorbis	v1.0.2
github.com/srwiley/oksvg	v0.0.0-20210519022825-9fc0c575d5fe
github.com/srwiley/rasterx	v0.0.0-20210519020934-456a8d69b780
golang.org/x/image	v0.9.0
golang.org/x/net	v0.6.0
golang.org/x/text	v0.11.0
