cloud.google.com/go/functions	v1.13.0
github.com/GoogleCloudPlatform/functions-framework-go	v1.7.4
github.com/cloudevents/sdk-go/v2	v2.15.2
github.com/davecgh/go-spew	v1.1.1
github.com/google/uuid	v1.3.0
github.com/json-iterator/go	v1.1.10
github.com/logrusorgru/aurora/v4	v4.0.0
github.com/modern-go/concurrent	v0.0.0-20180228061459-e0a39a4cb421
github.com/modern-go/reflect2	v0.0.0-20180701023420-4b7aa43c6742
github.com/rs/xid	v1.5.0
github.com/samber/lo	v1.38.1
github.com/samber/lo	v1.52.0
go.uber.org/multierr	v1.10.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.25.0
go.uber.org/zap	v1.27.1
golang.org/x/exp	v0.0.0-20220303212507-bbda1eaf7a17
golang.org/x/exp	v0.0.0-20220827204233-334a2380cb91
golang.org/x/text	v0.32.0
gopkg.in/natefinch/lumberjack.v2	v2.2.1
