github.com/davecgh/go-spew	v1.1.1
github.com/gin-contrib/sse	v0.1.0
github.com/gin-gonic/gin	v1.6.3
github.com/go-playground/assert/v2	v2.0.1
github.com/go-playground/locales	v0.13.0
github.com/go-playground/universal-translator	v0.17.0
github.com/go-playground/validator/v10	v10.2.0
github.com/gobwas/httphead	v0.0.0-20180130184737-2c6c146eadee
github.com/gobwas/pool	v0.2.0
github.com/gobwas/ws	v1.0.2
github.com/golang/protobuf	v1.3.5
github.com/google/go-cmp	v0.4.0
github.com/google/gofuzz	v1.0.0
github.com/gorilla/websocket	v1.4.1
github.com/json-iterator/go	v1.1.9
github.com/klauspost/compress	v1.10.3
github.com/leodido/go-urn	v1.2.0
github.com/mattn/go-isatty	v0.0.12
github.com/modern-go/concurrent	v0.0.0-20180228061459-e0a39a4cb421
github.com/modern-go/reflect2	v0.0.0-20180701023420-4b7aa43c6742
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.4.0
github.com/ugorji/go	v1.1.7
github.com/ugorji/go/codec	v1.1.7
golang.org/x/sys	v0.0.0-20200116001909-b77594299b42
golang.org/x/text	v0.3.2
golang.org/x/time	v0.0.0-20191024005414-555d28b269f0
golang.org/x/tools	v0.0.0-20180917221912-90fa682c2a6e
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.8
nhooyr.io/websocket	v1.8.6
