blitiri.com.ar/go/spf	v1.5.1
filippo.io/edwards25519	v1.1.0
github.com/Azure/go-ntlmssp	v0.0.0-20221128193559-754e69321358
github.com/G-Core/gcore-dns-sdk-go	v0.2.9
github.com/GehirnInc/crypt	v0.0.0-20230320061759-8cc1b52080c5
github.com/beorn7/perks	v1.0.1
github.com/c0va23/go-proxyprotocol	v0.9.1
github.com/caddyserver/certmagic	v0.21.7
github.com/caddyserver/zerossl	v0.1.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/digitalocean/godo	v1.134.0
github.com/dustin/go-humanize	v1.0.1
github.com/emersion/go-imap	v1.2.2-0.20220928192137-6fac715be9cf
github.com/emersion/go-imap-compress	v0.0.0-20201103190257-14809af1d1b9
github.com/emersion/go-imap-sortthread	v1.2.0
github.com/emersion/go-message	v0.18.2
github.com/emersion/go-milter	v0.4.1
github.com/emersion/go-msgauth	v0.6.8
github.com/emersion/go-sasl	v0.0.0-20241020182733-b788ff22d5a6
github.com/emersion/go-smtp	v0.21.3
github.com/fatih/color	v1.18.0
github.com/foxcpp/go-dovecot-sasl	v0.0.0-20260303144336-f7632c6ec0ba
github.com/foxcpp/go-imap-backend-tests	v0.0.0-20220105184719-e80aa29a5e16
github.com/foxcpp/go-imap-i18nlevel	v0.0.0-20200208001533-d6ec88553005
github.com/foxcpp/go-imap-mess	v0.0.0-20230108134257-b7ec3a649613
github.com/foxcpp/go-imap-namespace	v0.0.0-20200802091432-08496dd8e0ed
github.com/foxcpp/go-imap-sql	v0.5.1-0.20260412184517-b5e85e90f14d
github.com/foxcpp/go-mockdns	v1.1.0
github.com/foxcpp/go-mtasts	v0.0.0-20240130093538-1438da2e5932
github.com/fsnotify/fsnotify	v1.8.0
github.com/go-asn1-ber/asn1-ber	v1.5.7
github.com/go-ini/ini	v1.67.0
github.com/go-ldap/ldap/v3	v3.4.10
github.com/go-sql-driver/mysql	v1.8.1
github.com/goccy/go-json	v0.10.4
github.com/google/go-cmp	v0.6.0
github.com/google/go-querystring	v1.1.0
github.com/google/uuid	v1.6.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-retryablehttp	v0.7.7
github.com/hashicorp/hcl	v1.0.0
github.com/josharian/intern	v1.0.0
github.com/klauspost/compress	v1.17.11
github.com/klauspost/cpuid/v2	v2.2.9
github.com/lib/pq	v1.10.9
github.com/libdns/cloudflare	v0.1.1
github.com/libdns/digitalocean	v0.0.0-20230728223659-4f9064657aea
github.com/libdns/gandi	v1.0.3
github.com/libdns/gcore	v0.0.0-20250127070537-4a9d185c9d20
github.com/libdns/hetzner	v0.0.1
github.com/libdns/libdns	v0.2.2
github.com/libdns/namecheap	v0.0.0-20211109042440-fc7440785c8e
github.com/libdns/vultr	v1.0.0
github.com/magiconair/properties	v1.8.9
github.com/mailru/easyjson	v0.9.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-sqlite3	v1.14.24
github.com/mholt/acmez/v3	v3.0.1
github.com/miekg/dns	v1.1.63
github.com/minio/md5-simd	v1.1.2
github.com/minio/minio-go/v7	v7.0.84
github.com/mitchellh/mapstructure	v1.5.0
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/netauth/netauth	v0.6.2
github.com/netauth/protocol	v0.0.0-20210918062754-7fee492ffcbd
github.com/pelletier/go-toml/v2	v2.2.3
github.com/pierrec/lz4	v2.6.1+incompatible
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/prometheus/client_golang	v1.20.5
github.com/prometheus/client_model	v0.6.1
github.com/prometheus/common	v0.62.0
github.com/prometheus/procfs	v0.15.1
github.com/rs/xid	v1.6.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/sagikazarmark/slog-shim	v0.1.0
github.com/spf13/afero	v1.12.0
github.com/spf13/cast	v1.7.1
github.com/spf13/pflag	v1.0.5
github.com/spf13/viper	v1.19.0
github.com/stretchr/testify	v1.10.0
github.com/subosito/gotenv	v1.6.0
github.com/urfave/cli/v2	v2.27.5
github.com/vultr/govultr/v3	v3.14.1
github.com/xrash/smetrics	v0.0.0-20240521201337-686a1a2994c1
github.com/zeebo/blake3	v0.2.4
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.0
go.uber.org/zap/exp	v0.3.0
golang.org/x/crypto	v0.32.0
golang.org/x/net	v0.34.0
golang.org/x/oauth2	v0.25.0
golang.org/x/sync	v0.10.0
golang.org/x/sys	v0.29.0
golang.org/x/text	v0.21.0
golang.org/x/time	v0.9.0
google.golang.org/genproto/googleapis/rpc	v0.0.0-20250124145028-65684f501c47
google.golang.org/grpc	v1.70.0
google.golang.org/protobuf	v1.36.4
gopkg.in/ini.v1	v1.67.0
gopkg.in/yaml.v3	v3.0.1
gotest.tools	v2.2.0+incompatible
