github.com/Azure/go-ntlmssp	v0.0.0-20180810175552-4a21cbd618b4
github.com/ChrisTrenkamp/goxpath	v0.0.0-20170922090931-c385f95c6022
github.com/gofrs/uuid	v3.2.0+incompatible
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/masterzen/simplexml	v0.0.0-20160608183007-4572e39b1ab9
github.com/masterzen/winrm	v0.0.0-20190308153735-1d17eaf15943
github.com/mattn/go-isatty	v0.0.12
golang.org/x/crypto	v0.0.0-20190222235706-ffb98f73852f
golang.org/x/net	v0.0.0-20190213061140-3a22650c66bd
golang.org/x/sys	v0.0.0-20200116001909-b77594299b42
golang.org/x/text	v0.3.0
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
