github.com/cihub/seelog	v0.0.0-20140730094913-72ae425987bc
github.com/davecgh/go-spew	v1.1.0
github.com/gomodule/redigo	v1.8.2
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.5.1
golang.org/x/crypto	v0.0.0-20200622213623-75b288015ac9
golang.org/x/net	v0.0.0-20200822124328-c89045814202
golang.org/x/sys	v0.0.0-20200323222414-85ca7c5b95cd
golang.org/x/text	v0.3.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.2
vitess.io/vitess	v3.0.0-rc.3.0.20181212200900-e2c5239f54d1%2Bincompatible
