github.com/almerlucke/go-iban	v0.0.0-20220324081643-09bcab81b879
github.com/boombuler/barcode	v1.1.0
github.com/fsnotify/fsnotify	v1.9.0
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/mdp/qrterminal/v3	v3.2.1
github.com/pelletier/go-toml/v2	v2.2.4
github.com/sagikazarmark/locafero	v0.11.0
github.com/sourcegraph/conc	v0.3.1-0.20240121214520-5f936abd7ae8
github.com/spf13/afero	v1.15.0
github.com/spf13/cast	v1.10.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/spf13/viper	v1.21.0
github.com/subosito/gotenv	v1.6.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/sys	v0.29.0
golang.org/x/term	v0.23.0
golang.org/x/text	v0.28.0
rsc.io/qr	v0.2.0
