cyphar.com/go-pathrs	v0.2.4
dario.cat/mergo	v1.0.2
github.com/AdaLogics/go-fuzz-headers	v0.0.0-20240806141605-e8a1dd7889d6
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/BurntSushi/toml	v1.6.0
github.com/Masterminds/semver/v3	v3.4.0
github.com/Microsoft/go-winio	v0.6.2
github.com/VividCortex/ewma	v1.2.0
github.com/acarl005/stripansi	v0.0.0-20180116102854-5a71ef0e047d
github.com/blang/semver/v4	v4.0.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/chzyer/logex	v1.2.1
github.com/chzyer/readline	v1.5.1
github.com/chzyer/test	v1.0.0
github.com/clipperhouse/uax29/v2	v2.7.0
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v1.0.0-rc.4
github.com/containerd/stargz-snapshotter/estargz	v0.18.2
github.com/containerd/typeurl/v2	v2.2.3
github.com/containers/libtrust	v0.0.0-20230121012942-c1716e8a8d01
github.com/containers/ocicrypt	v1.3.0
github.com/containers/psgo	v1.10.0
github.com/coreos/go-systemd/v22	v22.7.0
github.com/creack/pty	v1.1.24
github.com/cyberphone/json-canonicalization	v0.0.0-20241213102144-19d51d7fe467
github.com/cyphar/filepath-securejoin	v0.6.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/disiqueira/gotree/v3	v3.0.2
github.com/distribution/reference	v0.6.0
github.com/docker/cli	v29.5.1%2Bincompatible
github.com/docker/distribution	v2.8.3%2Bincompatible
github.com/docker/docker-credential-helpers	v0.9.7
github.com/docker/go-connections	v0.7.0
github.com/docker/go-units	v0.5.0
github.com/felixge/httpsnoop	v1.0.4
github.com/fsnotify/fsnotify	v1.10.1
github.com/fsouza/go-dockerclient	v1.13.1
github.com/gdamore/encoding	v1.0.1
github.com/gdamore/tcell/v2	v2.13.5
github.com/gkampitakis/ciinfo	v0.3.2
github.com/gkampitakis/go-diff	v1.3.2
github.com/gkampitakis/go-snaps	v0.5.15
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-task/slim-sprig/v3	v3.0.0
github.com/goccy/go-yaml	v1.18.0
github.com/godbus/dbus/v5	v5.2.2
github.com/gogo/protobuf	v1.3.2
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/go-containerregistry	v0.21.1
github.com/google/go-intervals	v0.0.2
github.com/google/pprof	v0.0.0-20260402051712-545e8a4df936
github.com/google/uuid	v1.6.0
github.com/gorilla/mux	v1.8.1
github.com/gorilla/schema	v1.4.1
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/hinshun/vt10x	v0.0.0-20220301184237-5011da428d02
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jinzhu/copier	v0.4.0
github.com/joshdk/go-junit	v1.0.0
github.com/json-iterator/go	v1.1.12
github.com/kevinburke/ssh_config	v1.5.0
github.com/klauspost/compress	v1.18.6
github.com/klauspost/pgzip	v1.2.6
github.com/kr/fs	v0.1.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/lucasb-eyer/go-colorful	v1.3.0
github.com/manifoldco/promptui	v0.9.0
github.com/maruel/natural	v1.1.1
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.23
github.com/mattn/go-sqlite3	v1.14.45
github.com/mfridman/tparse	v0.18.0
github.com/miekg/pkcs11	v1.1.1
github.com/mistifyio/go-zfs/v4	v4.0.0
github.com/moby/buildkit	v0.30.0
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/go-archive	v0.2.0
github.com/moby/moby/api	v1.54.2
github.com/moby/moby/client	v0.4.1
github.com/moby/patternmatcher	v0.6.1
github.com/moby/sys/capability	v0.4.0
github.com/moby/sys/devices	v0.1.0
github.com/moby/sys/mountinfo	v0.7.2
github.com/moby/sys/sequential	v0.6.0
github.com/moby/sys/user	v0.4.0
github.com/moby/sys/userns	v0.1.0
github.com/moby/term	v0.5.2
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.3-0.20250322232337-35a7c28c31ee
github.com/navidys/tvxwidgets	v0.12.1
github.com/nxadm/tail	v1.4.11
github.com/onsi/ginkgo/v2	v2.29.0
github.com/onsi/gomega	v1.41.0
github.com/opencontainers/cgroups	v0.0.6
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.1.1
github.com/opencontainers/runtime-spec	v1.3.0
github.com/opencontainers/runtime-tools	v0.9.1-0.20260316125833-8a4db579f5c8
github.com/opencontainers/selinux	v1.15.1
github.com/openshift/imagebuilder	v1.2.21
github.com/pkg/errors	v0.9.1
github.com/pkg/sftp	v1.13.10
github.com/planetscale/vtprotobuf	v0.6.1-0.20240319094008-0393e58bdf10
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/proglottis/gpgme	v0.1.6
github.com/rivo/tview	v0.42.0
github.com/rivo/uniseg	v0.4.7
github.com/rogpeppe/go-internal	v1.14.1
github.com/rs/zerolog	v1.35.1
github.com/santhosh-tekuri/jsonschema/v6	v6.0.2
github.com/sebdah/goldie/v2	v2.8.0
github.com/secure-systems-lab/go-securesystemslib	v0.11.0
github.com/sergi/go-diff	v1.4.0
github.com/sigstore/fulcio	v1.8.5
github.com/sigstore/protobuf-specs	v0.5.0
github.com/sigstore/sigstore	v1.10.6
github.com/sirupsen/logrus	v1.9.4
github.com/skeema/knownhosts	v1.3.2
github.com/smallstep/pkcs7	v0.1.1
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/stefanberger/go-pkcs11uri	v0.0.0-20230803200340-78284954bff6
github.com/stretchr/testify	v1.11.1
github.com/sylabs/sif/v2	v2.24.0
github.com/tchap/go-patricia/v2	v2.3.3
github.com/tidwall/gjson	v1.18.0
github.com/tidwall/match	v1.1.1
github.com/tidwall/pretty	v1.2.1
github.com/tidwall/sjson	v1.2.5
github.com/ulikunitz/xz	v0.5.15
github.com/vbatts/tar-split	v0.12.3
github.com/vbauerster/mpb/v8	v8.12.1
github.com/xeipuuv/gojsonpointer	v0.0.0-20190905194746-02993c407bfb
github.com/xeipuuv/gojsonreference	v0.0.0-20180127040603-bd5ef7bd5415
github.com/xeipuuv/gojsonschema	v1.2.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.68.0
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/sdk	v1.43.0
go.opentelemetry.io/otel/sdk/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
go.podman.io/buildah	v1.44.0
go.podman.io/common	v0.68.0
go.podman.io/image/v5	v5.40.0
go.podman.io/podman/v6	v6.0.0
go.podman.io/storage	v1.63.0
go.yaml.in/yaml/v2	v2.4.3
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.53.0
golang.org/x/mod	v0.36.0
golang.org/x/net	v0.56.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/term	v0.44.0
golang.org/x/text	v0.38.0
golang.org/x/tools	v0.45.0
gonum.org/v1/gonum	v0.17.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260406210006-6f92a3bedf2d
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260406210006-6f92a3bedf2d
google.golang.org/grpc	v1.81.1
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v3	v3.0.1
gotest.tools/v3	v3.5.2
pgregory.net/rapid	v1.2.0
sigs.k8s.io/yaml	v1.6.0
tags.cncf.io/container-device-interface	v1.1.0
