github.com/ant0ine/go-json-rest	v3.3.2%2Bincompatible
github.com/axgle/mahonia	v0.0.0-20180208002826-3358181d7394
github.com/bitly/go-simplejson	v0.5.0
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.7
github.com/golang/protobuf	v1.3.2
github.com/golang/snappy	v0.0.1
github.com/gookit/color	v1.2.0
github.com/hpcloud/tail	v1.0.0
github.com/jander/golog	v0.0.0-20150917071935-954a5be801fc
github.com/kardianos/service	v1.0.0
github.com/onsi/ginkgo	v1.10.1
github.com/onsi/gomega	v1.7.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.2.0
github.com/stretchr/testify	v1.4.0
github.com/syndtr/goleveldb	v1.0.0
github.com/xxjwxc/public	v0.0.0-20190920132906-8030ce5a44f3
golang.org/x/crypto	v0.0.0-20190911031432-227b76d455e7
golang.org/x/net	v0.0.0-20190921015927-1a5e07d1ff72
golang.org/x/sync	v0.0.0-20190911185100-cd5d95a43a6e
golang.org/x/sys	v0.0.0-20190920190810-ef0ce1748380
golang.org/x/text	v0.3.2
golang.org/x/tools	v0.0.0-20190920225731-5eefd052ad72
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/eapache/queue.v1	v1.1.0
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.2.2
