cloud.google.com/go/auth	v0.16.4
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.8.0
github.com/BurntSushi/toml	v1.5.0
github.com/aarondl/inflect	v0.0.2
github.com/aarondl/null/v8	v8.1.3
github.com/aarondl/randomize	v0.0.2
github.com/aarondl/sqlboiler/v4	v4.19.5
github.com/aarondl/strmangle	v0.0.9
github.com/allaboutapps/integresql-client-go	v1.0.0
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/dlmiddlecote/sqlstats	v1.0.2
github.com/dropbox/godropbox	v0.0.0-20230623171840-436d2007a9fd
github.com/ericlagergren/decimal	v0.0.0-20240411145413-00de7ca16731
github.com/felixge/httpsnoop	v1.0.4
github.com/friendsofgo/errors	v0.9.2
github.com/gabriel-vasile/mimetype	v1.4.9
github.com/go-gorp/gorp/v3	v3.1.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-openapi/analysis	v0.23.0
github.com/go-openapi/errors	v0.22.2
github.com/go-openapi/jsonpointer	v0.21.2
github.com/go-openapi/jsonreference	v0.21.0
github.com/go-openapi/loads	v0.22.0
github.com/go-openapi/runtime	v0.28.0
github.com/go-openapi/spec	v0.21.0
github.com/go-openapi/strfmt	v0.23.0
github.com/go-openapi/swag	v0.23.1
github.com/go-openapi/validate	v0.24.0
github.com/gofrs/uuid	v4.4.0+incompatible
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/google/wire	v0.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.6
github.com/googleapis/gax-go/v2	v2.15.0
github.com/jordan-wright/email	v4.0.1-0.20210109023952-943e75fe5223+incompatible
github.com/josharian/intern	v1.0.0
github.com/labstack/echo-contrib	v0.17.4
github.com/labstack/echo/v4	v4.13.4
github.com/labstack/gommon	v0.4.2
github.com/lib/pq	v1.10.9
github.com/mailru/easyjson	v0.9.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mitchellh/mapstructure	v1.5.0
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/nicksnyder/go-i18n/v2	v2.4.1
github.com/oklog/ulid	v1.3.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/prometheus/client_golang	v1.23.0
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.65.0
github.com/prometheus/procfs	v0.17.0
github.com/rs/zerolog	v1.34.0
github.com/rubenv/sql-migrate	v1.8.0
github.com/spf13/cast	v1.9.2
github.com/spf13/cobra	v1.9.1
github.com/spf13/pflag	v1.0.7
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.10.0
github.com/subosito/gotenv	v1.6.0
github.com/timewasted/go-accept-headers	v0.0.0-20130320203746-c78f304b1b09
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasttemplate	v1.2.2
go.mongodb.org/mongo-driver	v1.17.4
go.opentelemetry.io/auto/sdk	v1.1.0
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.62.0
go.opentelemetry.io/otel	v1.37.0
go.opentelemetry.io/otel/metric	v1.37.0
go.opentelemetry.io/otel/trace	v1.37.0
golang.org/x/crypto	v0.41.0
golang.org/x/net	v0.43.0
golang.org/x/oauth2	v0.30.0
golang.org/x/sync	v0.16.0
golang.org/x/sys	v0.35.0
golang.org/x/text	v0.28.0
golang.org/x/time	v0.12.0
google.golang.org/api	v0.247.0
google.golang.org/genproto/googleapis/rpc	v0.0.0-20250811230008-5f3141c8851a
google.golang.org/grpc	v1.74.2
google.golang.org/protobuf	v1.36.7
gopkg.in/yaml.v3	v3.0.1
