cloud.google.com/go/auth	v0.16.4
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.8.0
dario.cat/mergo	v1.0.1
filippo.io/edwards25519	v1.1.0
github.com/aarondl/inflect	v0.0.2
github.com/aarondl/null/v8	v8.1.3
github.com/aarondl/randomize	v0.0.2
github.com/aarondl/sqlboiler/v4	v4.19.5
github.com/aarondl/strmangle	v0.0.9
github.com/allaboutapps/integresql-client-go	v1.0.0
github.com/armon/go-radix	v1.0.0
github.com/asaskevich/govalidator	v0.0.0-20230301143203-a9d515a09cc2
github.com/beorn7/perks	v1.0.1
github.com/bgentry/speakeasy	v0.2.0
github.com/burntsushi/toml	v1.5.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/denisenkom/go-mssqldb	v0.12.3
github.com/dlmiddlecote/sqlstats	v1.0.2
github.com/dropbox/godropbox	v0.0.0-20230623171840-436d2007a9fd
github.com/ericlagergren/decimal	v0.0.0-20240411145413-00de7ca16731
github.com/fatih/color	v1.18.0
github.com/felixge/httpsnoop	v1.0.4
github.com/friendsofgo/errors	v0.9.2
github.com/fsnotify/fsnotify	v1.9.0
github.com/gabriel-vasile/mimetype	v1.4.9
github.com/go-gorp/gorp/v3	v3.1.0
github.com/go-logfmt/logfmt	v0.6.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-openapi/analysis	v0.23.0
github.com/go-openapi/errors	v0.22.2
github.com/go-openapi/jsonpointer	v0.21.2
github.com/go-openapi/jsonreference	v0.21.0
github.com/go-openapi/loads	v0.22.0
github.com/go-openapi/runtime	v0.28.0
github.com/go-openapi/spec	v0.21.0
github.com/go-openapi/strfmt	v0.23.0
github.com/go-openapi/swag	v0.23.1
github.com/go-openapi/validate	v0.24.0
github.com/go-sql-driver/mysql	v1.8.1
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/godror/godror	v0.46.0
github.com/godror/knownpb	v0.2.0
github.com/gofrs/uuid	v4.4.0%2Bincompatible
github.com/golang-sql/civil	v0.0.0-20220223132316-b832511892a9
github.com/golang-sql/sqlexp	v0.1.0
github.com/google/s2a-go	v0.1.9
github.com/google/subcommands	v1.2.0
github.com/google/uuid	v1.6.0
github.com/google/wire	v0.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.6
github.com/googleapis/gax-go/v2	v2.15.0
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/huandu/xstrings	v1.5.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jordan-wright/email	v4.0.1-0.20210109023952-943e75fe5223%2Bincompatible
github.com/josharian/intern	v1.0.0
github.com/kat-co/vala	v0.0.0-20170210184112-42e1d8b61f12
github.com/labstack/echo-contrib	v0.17.4
github.com/labstack/echo/v4	v4.13.4
github.com/labstack/gommon	v0.4.2
github.com/lib/pq	v1.10.9
github.com/mailru/easyjson	v0.9.0
github.com/masterminds/goutils	v1.1.1
github.com/masterminds/semver/v3	v3.3.1
github.com/masterminds/sprig/v3	v3.3.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-oci8	v0.1.1
github.com/mattn/go-runewidth	v0.0.16
github.com/mattn/go-sqlite3	v1.14.24
github.com/mitchellh/cli	v1.1.5
github.com/mitchellh/copystructure	v1.2.0
github.com/mitchellh/mapstructure	v1.5.0
github.com/mitchellh/reflectwalk	v1.0.2
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/nicksnyder/go-i18n/v2	v2.4.1
github.com/oklog/ulid	v1.3.1
github.com/olekukonko/tablewriter	v0.0.5
github.com/pelletier/go-toml/v2	v2.2.4
github.com/pkg/errors	v0.9.1
github.com/planetscale/vtprotobuf	v0.6.1-0.20240319094008-0393e58bdf10
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/posener/complete	v1.2.3
github.com/prometheus/client_golang	v1.23.0
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.65.0
github.com/prometheus/procfs	v0.17.0
github.com/rivo/uniseg	v0.4.7
github.com/rs/zerolog	v1.34.0
github.com/rubenv/sql-migrate	v1.8.0
github.com/sagikazarmark/locafero	v0.10.0
