github.com/chzyer/logex	v1.1.10
github.com/chzyer/readline	v0.0.0-20180603132655-2972be24d48e
github.com/chzyer/test	v0.0.0-20180213035817-a1ea475d72b1
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.9
github.com/go-task/slim-sprig	v0.0.0-20210107165309-348f09dbbbc0
github.com/golang/protobuf	v1.5.2
github.com/google/go-cmp	v0.5.8
github.com/google/pprof	v0.0.0-20210407192527-94a9f03dee38
github.com/hpcloud/tail	v1.0.0
github.com/ianlancetaylor/demangle	v0.0.0-20200824232613-28f6c0f3b639
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.4
github.com/onsi/ginkgo/v2	v2.1.6
github.com/onsi/gomega	v1.20.2
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.5.1
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/net	v0.0.0-20220722155237-a158d28d115b
golang.org/x/sync	v0.0.0-20220722155255-886fb9371eb4
golang.org/x/sys	v0.0.0-20220722155257-8c9f86f7a55f
golang.org/x/term	v0.0.0-20210927222741-03fcf44c2211
golang.org/x/text	v0.3.7
golang.org/x/tools	v0.1.12
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/protobuf	v1.28.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
