github.com/Shopify/sarama	v1.27.2
github.com/alecthomas/chroma	v0.7.3
github.com/alecthomas/template	v0.0.0-20190718012654-fb15b899a751
github.com/alecthomas/units	v0.0.0-20190924025748-f65c72e2690d
github.com/araddon/dateparse	v0.0.0-20200409225146-d820a6159ab1
github.com/asaskevich/govalidator	v0.0.0-20200428143746-21a406dcc535
github.com/brianvoe/gofakeit/v4	v4.3.0
github.com/danwakefield/fnmatch	v0.0.0-20160403171240-cbb64ac3d964
github.com/davecgh/go-spew	v1.1.1
github.com/dlclark/regexp2	v1.2.0
github.com/dustin/go-humanize	v1.0.0
github.com/eapache/go-resiliency	v1.2.0
github.com/eapache/go-xerial-snappy	v0.0.0-20180814174437-776d5712da21
github.com/eapache/queue	v1.1.0
github.com/go-openapi/errors	v0.19.6
github.com/go-openapi/strfmt	v0.19.5
github.com/go-stack/stack	v1.8.0
github.com/golang/protobuf	v1.4.2
github.com/golang/snappy	v0.0.1
github.com/google/btree	v1.0.0
github.com/hashicorp/go-uuid	v1.0.2
github.com/jcmturner/gofork	v1.0.0
github.com/jedib0t/go-pretty	v1.0.1-0.20200513162803-d24d83bda5d4
github.com/jhump/protoreflect	v1.7.0
github.com/kirsle/configdir	v0.0.0-20170128060238-e45d2f54772f
github.com/klauspost/compress	v1.11.0
github.com/mattn/go-runewidth	v0.0.9
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/mapstructure	v1.3.3
github.com/peterbourgon/diskv	v2.0.1+incompatible
github.com/pierrec/lz4	v2.5.2+incompatible
github.com/rcrowley/go-metrics	v0.0.0-20200313005456-10cdbea86bc0
github.com/xdg/scram	v0.0.0-20180814205039-7eeb5667e42c
github.com/xdg/stringprep	v1.0.0
go.mongodb.org/mongo-driver	v1.3.5
golang.org/x/crypto	v0.0.0-20200820211705-5c72a883971a
golang.org/x/net	v0.0.0-20200904194848-62affa334b73
golang.org/x/text	v0.3.3
google.golang.org/genproto	v0.0.0-20200724131911-43cab4749ae7
google.golang.org/protobuf	v1.25.0
gopkg.in/alecthomas/kingpin.v2	v2.2.6
gopkg.in/jcmturner/aescts.v1	v1.0.1
gopkg.in/jcmturner/dnsutils.v1	v1.0.1
gopkg.in/jcmturner/gokrb5.v7	v7.5.0
gopkg.in/jcmturner/rpc.v1	v1.1.0
