github.com/cpuguy83/go-md2man/v2	v2.0.4
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/destel/rill	v0.5.0
github.com/dustin/go-humanize	v1.0.1
github.com/fatih/color	v1.18.0
github.com/frankban/quicktest	v1.14.6
github.com/golang/geo	v0.0.0-20230421003525-6adc56603217
github.com/golang/protobuf	v1.5.0
github.com/google/go-cmp	v0.6.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/klauspost/compress	v1.17.11
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.16
github.com/pierrec/lz4	v2.6.1+incompatible
github.com/pkg/diff	v0.0.0-20210226163009-20ebb0f2a09e
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.2.0
github.com/rogpeppe/go-internal	v1.9.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/spf13/cobra	v1.8.1
github.com/spf13/pflag	v1.0.5
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.9.0
github.com/ulikunitz/xz	v0.5.14
golang.org/x/exp	v0.0.0-20250106191152-7588d65b2ba8
golang.org/x/mod	v0.22.0
golang.org/x/sync	v0.10.0
golang.org/x/sys	v0.26.0
golang.org/x/tools	v0.29.0
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
google.golang.org/protobuf	v1.35.1
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/cheggaaa/pb.v1	v1.0.28
gopkg.in/yaml.v3	v3.0.1
