github.com/BTBurke/caddy-jwt	v3.7.1+incompatible
github.com/BurntSushi/toml	v0.3.1
github.com/abbot/go-http-auth	v0.4.0
github.com/bifurcation/mint	v0.0.0-20180715133206-93c51c6ce115
github.com/bshuster-repo/logrus-logstash-hook	v0.0.0-20190911164539-b3d898b5138a
github.com/caddyserver/caddy	v1.0.3
github.com/cenkalti/backoff	v2.1.1+incompatible
github.com/cheekybits/genny	v0.0.0-20170328200008-9127e812e1e9
github.com/davecgh/go-spew	v1.1.1
github.com/dgrijalva/jwt-go	v3.2.0+incompatible
github.com/dustin/go-humanize	v1.0.0
github.com/flynn/go-shlex	v0.0.0-20150515145356-3f9db97f8568
github.com/fsnotify/fsnotify	v1.4.7
github.com/go-acme/lego	v2.5.0+incompatible
github.com/golang/mock	v1.3.1
github.com/golang/protobuf	v1.2.0
github.com/google/uuid	v1.1.1
github.com/gorilla/handlers	v1.4.2
github.com/gorilla/mux	v1.7.3
github.com/gorilla/websocket	v1.4.0
github.com/hashicorp/go-syslog	v1.0.0
github.com/hashicorp/golang-lru	v0.5.3
github.com/hpcloud/tail	v1.0.0
github.com/jimstudt/http-authentication	v0.0.0-20140401203705-3eca13d6893a
github.com/klauspost/cpuid	v1.2.0
github.com/konsorten/go-windows-terminal-sequences	v1.0.1
github.com/kylelemons/godebug	v0.0.0-20170820004349-d65d576e9348
github.com/lucas-clemente/aes12	v0.0.0-20171027163421-cd47fb39b79f
github.com/lucas-clemente/quic-clients	v0.1.0
github.com/lucas-clemente/quic-go	v0.10.2
github.com/lucas-clemente/quic-go-certificates	v0.0.0-20160823095156-d2f86524cced
github.com/marten-seemann/qtls	v0.2.3
github.com/mholt/certmagic	v0.6.2-0.20190624175158-6a42ef9fe8c2
github.com/miekg/dns	v1.1.22
github.com/naoina/go-stringutil	v0.1.0
github.com/naoina/toml	v0.1.1
github.com/onsi/ginkgo	v1.8.0
github.com/onsi/gomega	v1.5.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/pquerna/cachecontrol	v0.0.0-20180517163645-1555304b9b35
github.com/russross/blackfriday	v0.0.0-20170610170232-067529f716f4
github.com/sirupsen/logrus	v1.7.0
github.com/stretchr/objx	v0.1.1
github.com/stretchr/testify	v1.7.0
github.com/tarent/go-log-middleware/v2	v2.1.0
github.com/tarent/lib-compose/v2	v2.0.1
github.com/tarent/lib-servicediscovery	v0.0.0-20191104104245-399da27a1bf4
github.com/yosssi/gohtml	v0.0.0-20190915184251-7ff6f235ecaf
golang.org/x/crypto	v0.0.0-20201221181555-eec23a3978ad
golang.org/x/net	v0.0.0-20201224014010-6772e930b67b
golang.org/x/sync	v0.0.0-20190423024810-112230192c58
golang.org/x/sys	v0.0.0-20210113181707-4bcb84eeeb78
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.3
golang.org/x/tools	v0.0.0-20190907020128-2ca718005c18
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/mcuadros/go-syslog.v2	v2.2.1
gopkg.in/natefinch/lumberjack.v2	v2.0.0
gopkg.in/square/go-jose.v2	v2.2.2
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
