github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc
github.com/charmbracelet/lipgloss	v1.1.0
github.com/charmbracelet/x/ansi	v0.8.0
github.com/charmbracelet/x/cellbuf	v0.0.13-0.20250311204145-2c3ea96c31dd
github.com/charmbracelet/x/term	v0.2.1
github.com/clipperhouse/uax29/v2	v2.2.0
github.com/davecgh/go-spew	v1.1.1
github.com/google/uuid	v1.6.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.19
github.com/muesli/termenv	v0.16.0
github.com/phoenix-tui/phoenix/benchmarks/comparison	
github.com/phoenix-tui/phoenix/clipboard	
github.com/phoenix-tui/phoenix/components	
github.com/phoenix-tui/phoenix/core	
github.com/phoenix-tui/phoenix/examples/cobra-cli	
github.com/phoenix-tui/phoenix/examples/context-menu	
github.com/phoenix-tui/phoenix/examples/drag-scroll	
github.com/phoenix-tui/phoenix/examples/hover-highlight	
github.com/phoenix-tui/phoenix/examples/wheel-scroll	
github.com/phoenix-tui/phoenix/layout	
github.com/phoenix-tui/phoenix/mouse	
github.com/phoenix-tui/phoenix/render	
github.com/phoenix-tui/phoenix/style	
github.com/phoenix-tui/phoenix/style/examples/basic	
github.com/phoenix-tui/phoenix/style/examples/complete	
github.com/phoenix-tui/phoenix/tea	
github.com/phoenix-tui/phoenix/terminal	
github.com/phoenix-tui/phoenix/testing	
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.4.7
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/stretchr/testify	v1.11.1
github.com/unilibs/uniwidth	v0.2.0
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
golang.org/x/exp	v0.0.0-20220909182711-5c715a9e8561
golang.org/x/sys	v0.37.0
golang.org/x/sys	v0.40.0
golang.org/x/term	v0.39.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
