github.com/andybalholm/brotli	v1.2.0
github.com/beorn7/perks	v1.0.1
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/clipperhouse/stringish	v0.1.1
github.com/clipperhouse/uax29/v2	v2.3.0
github.com/gabriel-vasile/mimetype	v1.4.2
github.com/gin-contrib/sse	v0.1.0
github.com/gin-gonic/gin	v1.9.1
github.com/go-chi/chi/v5	v5.2.5
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.14.0
github.com/gofiber/fiber/v2	v2.52.10
github.com/golang-jwt/jwt	v3.2.2%2Bincompatible
github.com/google/uuid	v1.6.0
github.com/gorilla/mux	v1.8.1
github.com/grpc-ecosystem/grpc-gateway/v2	v2.27.7
github.com/klauspost/compress	v1.18.2
github.com/labstack/echo/v4	v4.11.1
github.com/labstack/echo/v4	v4.11.3
github.com/labstack/gommon	v0.4.0
github.com/leodido/go-urn	v1.2.4
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.19
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/nakabonne/tstorage	v0.3.6
github.com/pelletier/go-toml/v2	v2.0.8
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.66.1
github.com/prometheus/procfs	v0.16.1
github.com/shirou/gopsutil	v3.21.11%2Bincompatible
github.com/tklauser/go-sysconf	v0.3.16
github.com/tklauser/numcpus	v0.11.0
github.com/ugorji/go/codec	v1.2.11
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasthttp	v1.68.0
github.com/valyala/fasttemplate	v1.2.2
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.40.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc	v1.40.0
go.opentelemetry.io/otel/metric	v1.40.0
go.opentelemetry.io/otel/sdk	v1.40.0
go.opentelemetry.io/otel/sdk/metric	v1.40.0
go.opentelemetry.io/otel/trace	v1.40.0
go.opentelemetry.io/proto/otlp	v1.9.0
go.yaml.in/yaml/v2	v2.4.2
golang.org/x/crypto	v0.47.0
golang.org/x/net	v0.49.0
golang.org/x/sys	v0.40.0
golang.org/x/text	v0.33.0
golang.org/x/time	v0.3.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260128011058-8636f8732409
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260128011058-8636f8732409
google.golang.org/grpc	v1.78.0
google.golang.org/protobuf	v1.36.11
gopkg.in/yaml.v3	v3.0.1
