loov.dev/lensm
dmitri.shuralyov.com/gpu/mtl v0.0.0-20221208032759-85de2813cf6b
eliasnaur.com/font v0.0.0-20230308162249-dd43949cb42d
gioui.org v0.9.0
gioui.org/cpu v0.0.0-20210808092351-bfe733dd3334
gioui.org/shader v1.0.8
github.com/davecgh/go-spew v1.1.1
github.com/go-gl/glfw/v3.3/glfw v0.0.0-20231223183121-56fa3ac82ce7
github.com/go-text/typesetting v0.3.0
github.com/go-text/typesetting-utils v0.0.0-20241103174707-87a29e9e6066
github.com/google/go-cmp v0.6.0
github.com/jezek/xgb v1.1.1
github.com/pmezard/go-difflib v1.0.0
github.com/stretchr/testify v1.8.0
github.com/tetratelabs/wabin v0.0.0-20230304001439-f6f874872834
golang.org/x/arch v0.23.0
golang.org/x/exp v0.0.0-20260112195511-716be5621a96
golang.org/x/exp/shiny v0.0.0-20260112195511-716be5621a96
golang.org/x/image v0.35.0
golang.org/x/mobile v0.0.0-20251209145715-2553ed8ce294
golang.org/x/mod v0.32.0
golang.org/x/sync v0.19.0
golang.org/x/sys v0.40.0
golang.org/x/text v0.33.0
golang.org/x/tools v0.41.0
golang.org/x/tools/go/expect v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest v0.1.1-deprecated
gopkg.in/yaml.v3 v3.0.1
rsc.io/pdf v0.1.1
