github.com/alitto/pond	v1.8.3
github.com/andres-erbsen/clock	v0.0.0-20160526145045-9e14626cd129
github.com/clbanning/mxj	v1.8.4
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.9.0
github.com/fsnotify/fsnotify	v1.4.7
github.com/golang/protobuf	v1.2.0
github.com/hpcloud/tail	v1.0.0
github.com/k0kubun/colorstring	v0.0.0-20150214042306-9440f1994b88
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/labstack/echo	v3.3.10+incompatible
github.com/labstack/gommon	v0.3.0
github.com/mattn/go-colorable	v0.1.4
github.com/mattn/go-isatty	v0.0.11
github.com/onsi/ginkgo	v1.12.0
github.com/onsi/gomega	v1.9.0
github.com/pmezard/go-difflib	v1.0.0
github.com/samber/lo	v1.37.0
github.com/sergi/go-diff	v1.1.0
github.com/streetbyters/aduket	v0.0.2
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.1
github.com/valyala/bytebufferpool	v1.0.0
github.com/valyala/fasttemplate	v1.0.1
github.com/yudai/gojsondiff	v1.0.0
github.com/yudai/golcs	v0.0.0-20170316035057-ecda9a501e82
github.com/yudai/pp	v2.0.1+incompatible
go.uber.org/atomic	v1.7.0
go.uber.org/ratelimit	v0.2.0
golang.org/x/crypto	v0.0.0-20200206161412-a0c6ece9d31a
golang.org/x/exp	v0.0.0-20220303212507-bbda1eaf7a17
golang.org/x/mod	v0.6.0-dev.0.20211013180041-c96bc1413d57
golang.org/x/net	v0.0.0-20190404232315-eb5bcb51f2a3
golang.org/x/sync	v0.0.0-20180314180146-1d60e4601c6f
golang.org/x/sys	v0.0.0-20211019181941-9d821ace8654
golang.org/x/text	v0.3.0
golang.org/x/tools	v0.1.8-0.20211029000441-d6a9af8af023
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.2.4
gopkg.in/yaml.v3	v3.0.1
