github.com/aead/chacha20	v0.0.0-20180709150244-8b13a72661da
github.com/aead/ecdh	v0.2.0
github.com/bxcodec/faker	v2.0.1+incompatible
github.com/davecgh/go-spew	v1.1.0
github.com/mohae/deepcopy	v0.0.0-20170929034955-c48cc78d4826
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.6.0
github.com/xaionaro-go/bytesextra	v0.0.0-20200223153815-1ed74f0bfcd8
github.com/xaionaro-go/errors	v0.0.0-20200223133802-5f1bdcd2dd3e
github.com/xaionaro-go/iotools	v0.0.0-20200216153546-c9a0cc99df46
github.com/xaionaro-go/multierror	v0.0.0-20200607190004-3c7acd4827aa
github.com/xaionaro-go/slice	v0.0.0-20200126131228-455c082ffedb
github.com/xaionaro-go/spinlock	v0.0.0-20200518175509-30e6d1ce68a1
github.com/xaionaro-go/synctools	v0.0.0-20200209183817-f47054253862
github.com/xaionaro-go/udpnofrag	v0.0.0-20200601115339-bb59efae8688
github.com/xaionaro-go/unsafetools	v0.0.0-20200202162159-021b112c4d30
github.com/yuin/goldmark	v1.1.27
golang.org/x/crypto	v0.0.0-20200510223506-06a226fb4e37
golang.org/x/mod	v0.2.0
golang.org/x/net	v0.0.0-20200226121028-0de0cce0169b
golang.org/x/sync	v0.0.0-20190911185100-cd5d95a43a6e
golang.org/x/sys	v0.0.0-20190412213103-97732733099d
golang.org/x/text	v0.3.0
golang.org/x/tools	v0.0.0-20200626171337-aa94e735be7f
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.2
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
lukechampine.com/blake3	v1.0.0
