github.com/iyashjayesh/goscaf
github.com/AlecAivazis/survey/v2 v2.3.7
github.com/Netflix/go-expect v0.0.0-20220104043353-73e0943537d2
github.com/cpuguy83/go-md2man/v2 v2.0.6
github.com/creack/pty v1.1.17
github.com/davecgh/go-spew v1.1.1
github.com/fatih/color v1.19.0
github.com/hinshun/vt10x v0.0.0-20220119200601-820417d04eec
github.com/inconshreveable/mousetrap v1.1.0
github.com/kballard/go-shellquote v0.0.0-20180428030007-95032a82bc51
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.20
github.com/mgutz/ansi v0.0.0-20170206155736-9520e82c474b
github.com/pmezard/go-difflib v1.0.0
github.com/russross/blackfriday/v2 v2.1.0
github.com/spf13/cobra v1.10.2
github.com/spf13/pflag v1.0.9
github.com/stretchr/objx v0.1.0
github.com/stretchr/testify v1.6.1
github.com/yuin/goldmark v1.4.13
go.yaml.in/yaml/v3 v3.0.4
golang.org/x/crypto v0.0.0-20210921155107-089bfa567519
golang.org/x/mod v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/net v0.0.0-20220722155237-a158d28d115b
golang.org/x/sync v0.0.0-20220722155255-886fb9371eb4
golang.org/x/sys v0.42.0
golang.org/x/term v0.0.0-20210927222741-03fcf44c2211
golang.org/x/text v0.4.0
golang.org/x/tools v0.1.12
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.0-20200313102051-9f266ea9e77c
