github.com/TheTitanrain/w32	v0.0.0-20180517000239-4f5cfb03fabf
github.com/agnivade/levenshtein	v1.1.1
github.com/apache/arrow/go/arrow	v0.0.0-20211112161151-bc219186db40
github.com/arbovm/levenshtein	v0.0.0-20160628152529-48b4e1c0c4d0
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/bahlo/generic-list-go	v0.2.0
github.com/buger/jsonparser	v1.1.1
github.com/bytedance/sonic	v1.11.6
github.com/bytedance/sonic/loader	v0.1.1
github.com/charmbracelet/bubbletea	v1.3.10
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc
github.com/charmbracelet/lipgloss	v1.1.0
github.com/charmbracelet/x/ansi	v0.10.1
github.com/charmbracelet/x/cellbuf	v0.0.13-0.20250311204145-2c3ea96c31dd
github.com/charmbracelet/x/term	v0.2.1
github.com/chewxy/hm	v1.0.0
github.com/chewxy/math32	v1.11.0
github.com/cloudwego/base64x	v0.1.4
github.com/cloudwego/iasm	v0.2.0
github.com/containerd/console	v1.0.3
github.com/d4l3k/go-bfloat16	v0.0.0-20211005043715-690c3bdd05f1
github.com/davecgh/go-spew	v1.1.1
github.com/dgryski/trifles	v0.0.0-20200323201526-dd97f9abfb48
github.com/dlclark/regexp2	v1.11.5
github.com/emirpasic/gods/v2	v2.0.0-alpha
github.com/erikgeiser/coninput	v0.0.0-20211004153227-1c3628e74d0f
github.com/gabriel-vasile/mimetype	v1.4.3
github.com/gin-contrib/cors	v1.7.2
github.com/gin-contrib/sse	v0.1.0
github.com/gin-gonic/gin	v1.10.0
github.com/go-playground/assert/v2	v2.2.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.20.0
github.com/goccy/go-json	v0.10.2
github.com/gogo/protobuf	v1.3.2
github.com/golang/protobuf	v1.5.4
github.com/google/flatbuffers	v24.3.25%2Bincompatible
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/json-iterator/go	v1.1.12
github.com/klauspost/compress	v1.18.3
github.com/klauspost/cpuid/v2	v2.2.7
github.com/kr/pretty	v0.3.0
github.com/kr/text	v0.2.0
github.com/ledongthuc/pdf	v0.0.0-20250511090121-5959a4027728
github.com/leodido/go-urn	v1.4.0
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/mailru/easyjson	v0.7.7
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-localereader	v0.0.1
github.com/mattn/go-pointer	v0.0.1
github.com/mattn/go-runewidth	v0.0.16
github.com/mattn/go-sqlite3	v1.14.24
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/muesli/ansi	v0.0.0-20230316100256-276c6243b2f6
github.com/muesli/cancelreader	v0.2.2
github.com/muesli/termenv	v0.16.0
github.com/nlpodyssey/gopickle	v0.3.0
github.com/olekukonko/tablewriter	v0.0.5
github.com/pdevine/tensor	v0.0.0-20240510204454-f88f4562727c
github.com/pelletier/go-toml/v2	v2.2.2
github.com/pierrec/lz4/v4	v4.1.8
github.com/pkg/browser	v0.0.0-20240102092130-5ac0b6a4141c
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.4.7
github.com/rogpeppe/go-internal	v1.8.0
github.com/spf13/cobra	v1.7.0
github.com/spf13/pflag	v1.0.5
github.com/stretchr/testify	v1.10.0
github.com/tkrajina/go-reflector	v0.5.5
github.com/tkrajina/typescriptify-golang-structs	v0.2.0
github.com/tree-sitter/go-tree-sitter	v0.25.0
github.com/tree-sitter/tree-sitter-c	v0.23.4
github.com/tree-sitter/tree-sitter-cpp	v0.23.4
github.com/tree-sitter/tree-sitter-embedded-template	v0.23.2
github.com/tree-sitter/tree-sitter-go	v0.23.4
github.com/tree-sitter/tree-sitter-html	v0.23.2
github.com/tree-sitter/tree-sitter-java	v0.23.5
github.com/tree-sitter/tree-sitter-javascript	v0.23.1
github.com/tree-sitter/tree-sitter-json	v0.24.8
github.com/tree-sitter/tree-sitter-php	v0.23.11
github.com/tree-sitter/tree-sitter-python	v0.23.6
github.com/tree-sitter/tree-sitter-ruby	v0.23.1
github.com/tree-sitter/tree-sitter-rust	v0.23.2
github.com/twitchyliquid64/golang-asm	v0.15.1
github.com/ugorji/go/codec	v1.2.12
github.com/wk8/go-ordered-map/v2	v2.1.8
github.com/x448/float16	v0.8.4
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
github.com/xtgo/set	v1.0.0
go4.org/unsafe/assume-no-moving-gc	v0.0.0-20231121144256-b99613f794b6
golang.org/x/arch	v0.8.0
golang.org/x/crypto	v0.43.0
golang.org/x/exp	v0.0.0-20250218142911-aa4b98e5adaa
golang.org/x/image	v0.22.0
golang.org/x/mod	v0.30.0
golang.org/x/net	v0.46.0
golang.org/x/sync	v0.17.0
golang.org/x/sys	v0.37.0
golang.org/x/term	v0.36.0
golang.org/x/text	v0.30.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gonum.org/v1/gonum	v0.15.0
google.golang.org/protobuf	v1.34.1
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
gorgonia.org/vecf32	v0.9.0
gorgonia.org/vecf64	v0.9.0
