github.com/AlecAivazis/survey/v2	v2.3.2
github.com/Pallinder/go-randomdata	v1.2.0
github.com/atotto/clipboard	v0.1.4
github.com/chai2010/gettext-go	v0.0.0-20170215093142-bf70f2a70fb1
github.com/containerd/containerd	v1.5.5
github.com/cpuguy83/go-md2man/v2	v2.0.2
github.com/docker/distribution	v2.7.1%2Bincompatible
github.com/docker/docker	v20.10.8%2Bincompatible
github.com/docker/go-connections	v0.4.0
github.com/docker/go-units	v0.4.0
github.com/emirpasic/gods	v1.18.1
github.com/godbus/dbus	v4.1.0%2Bincompatible
github.com/gogo/protobuf	v1.3.2
github.com/golang/mock	v1.6.0
github.com/golang/protobuf	v1.5.3
github.com/google/go-github/v29	v29.0.3
github.com/google/go-querystring	v1.0.0
github.com/hashicorp/go-version	v1.2.1
github.com/jbenet/go-context	v0.0.0-20150711004518-d14ea06fba99
github.com/jedib0t/go-pretty/v6	v6.6.1
github.com/jenkins-zh/jenkins-client	v0.0.15
github.com/jenkins-zh/jenkins-formulas	v0.0.5
github.com/k0kubun/go-ansi	v0.0.0-20180517002512-3bf9e2903213
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/kevinburke/ssh_config	v1.2.0
github.com/linuxsuren/cobra-extension	v0.0.16
github.com/linuxsuren/go-cli-alias	v0.0.10
github.com/linuxsuren/go-cli-plugin	v0.0.5
github.com/linuxsuren/http-downloader	v0.0.98
github.com/mattn/go-colorable	v0.1.6
github.com/mattn/go-isatty	v0.0.17
github.com/mattn/go-runewidth	v0.0.15
github.com/mgutz/ansi	v0.0.0-20170206155736-9520e82c474b
github.com/mitchellh/colorstring	v0.0.0-20190213212951-d06e56a500db
github.com/mitchellh/go-homedir	v1.1.0
github.com/moby/moby	v20.10.8%2Bincompatible
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.0.1
github.com/pkg/errors	v0.9.1
github.com/rivo/uniseg	v0.4.3
github.com/russross/blackfriday/v2	v2.1.0
github.com/schollz/progressbar/v3	v3.13.0
github.com/sergi/go-diff	v1.1.0
github.com/sirupsen/logrus	v1.9.0
github.com/spf13/cobra	v1.6.1
github.com/spf13/pflag	v1.0.5
github.com/src-d/gcfg	v1.4.0
github.com/xanzy/ssh-agent	v0.3.3
github.com/zalando/go-keyring	v0.0.0-20200121091418-667557018717
go.uber.org/atomic	v1.7.0
go.uber.org/multierr	v1.6.0
go.uber.org/zap	v1.19.0
golang.org/x/crypto	v0.23.0
golang.org/x/net	v0.25.0
golang.org/x/oauth2	v0.0.0-20220411215720-9780585627b5
golang.org/x/sys	v0.20.0
golang.org/x/term	v0.20.0
golang.org/x/text	v0.21.0
google.golang.org/genproto	v0.0.0-20210828152312-66f60bf46e71
google.golang.org/grpc	v1.40.0
google.golang.org/protobuf	v1.28.0
gopkg.in/src-d/go-billy.v4	v4.3.2
gopkg.in/src-d/go-git.v4	v4.13.1
gopkg.in/warnings.v0	v0.1.2
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
moul.io/http2curl	v1.0.0
