dario.cat/mergo	v1.0.2
github.com/alecthomas/chroma/v2	v2.20.0
github.com/anmitsu/go-shlex	v0.0.0-20200514113438-38f4b401e2be
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/aymerick/douceur	v0.2.0
github.com/azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c
github.com/cenkalti/backoff	v2.2.1%2Bincompatible
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/charmbracelet/bubbletea	v1.3.10
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc
github.com/charmbracelet/glamour	v1.0.0
github.com/charmbracelet/lipgloss	v1.1.1-0.20250404203927-76690c660834
github.com/charmbracelet/x/ansi	v0.10.2
github.com/charmbracelet/x/cellbuf	v0.0.13
github.com/charmbracelet/x/exp/slice	v0.0.0-20250327172914-2fdc97757edf
github.com/charmbracelet/x/term	v0.2.1
github.com/coder/websocket	v1.8.15
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v0.2.1
github.com/cpuguy83/dockercfg	v0.3.2
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/distribution/reference	v0.6.0
github.com/dlclark/regexp2	v1.11.5
github.com/docker/go-connections	v0.7.0
github.com/docker/go-units	v0.5.0
github.com/ebitengine/purego	v0.10.0
github.com/emersion/go-sasl	v0.0.0-20241020182733-b788ff22d5a6
github.com/emersion/go-smtp	v0.24.0
github.com/erikgeiser/coninput	v0.0.0-20211004153227-1c3628e74d0f
github.com/fclairamb/ftpserverlib	v0.32.1
github.com/felixge/httpsnoop	v1.0.4
github.com/geoffgarside/ber	v1.1.0
github.com/gliderlabs/ssh	v0.3.8
github.com/go-acme/lego/v4	v4.35.2
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.2.6
github.com/google/go-github/v85	v85.0.0
github.com/google/go-querystring	v1.2.0
github.com/google/uuid	v1.6.0
github.com/gorilla/css	v1.0.1
github.com/grandcat/zeroconf	v1.0.0
github.com/hirochachacha/go-smb2	v1.1.0
github.com/howeyc/gopass	v0.0.0-20210920133722-c8aef6fb66ef
github.com/inconshreveable/go-update	v0.0.0-20160112193335-8152e7eb6ccf
github.com/klauspost/compress	v1.18.5
github.com/kr/fs	v0.1.0
github.com/lucasb-eyer/go-colorful	v1.3.0
github.com/lufia/plan9stats	v0.0.0-20211012122336-39d0f177ccd0
github.com/magiconair/properties	v1.8.10
github.com/mattn/go-isatty	v0.0.21
github.com/mattn/go-localereader	v0.0.1
github.com/mattn/go-runewidth	v0.0.17
github.com/microcosm-cc/bluemonday	v1.0.27
github.com/microsoft/go-winio	v0.6.2
github.com/miekg/dns	v1.1.72
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/go-archive	v0.2.0
github.com/moby/moby/api	v1.55.0
github.com/moby/moby/client	v0.4.0
github.com/moby/patternmatcher	v0.6.1
github.com/moby/sys/sequential	v0.6.0
github.com/moby/sys/user	v0.4.0
github.com/moby/sys/userns	v0.1.0
github.com/moby/term	v0.5.2
github.com/muesli/ansi	v0.0.0-20230316100256-276c6243b2f6
github.com/muesli/cancelreader	v0.2.2
github.com/muesli/reflow	v0.3.0
github.com/muesli/termenv	v0.16.0
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.1.1
github.com/pkg/sftp	v1.13.11
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55
github.com/rivo/uniseg	v0.4.7
github.com/shirou/gopsutil/v4	v4.26.5
github.com/sirupsen/logrus	v1.9.4
github.com/skip2/go-qrcode	v0.0.0-20200617195104-da1b6568686e
github.com/spf13/afero	v1.15.0
github.com/stretchr/testify	v1.11.1
github.com/studio-b12/gowebdav	v0.13.0
github.com/testcontainers/testcontainers-go	v0.43.0
github.com/tklauser/go-sysconf	v0.3.16
github.com/tklauser/numcpus	v0.11.0
github.com/xo/terminfo	v0.0.0-20220910002029-abceb7e1c41e
github.com/yuin/goldmark	v1.7.13
github.com/yuin/goldmark-emoji	v1.0.6
github.com/yusufpapurcu/wmi	v1.2.4
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.67.0
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
golang.org/x/crypto	v0.54.0
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.57.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/text	v0.40.0
golang.org/x/tools	v0.47.0
gopkg.in/yaml.v3	v3.0.1
software.sslmate.com/src/go-pkcs12	v0.7.3
