github.com/antonholmquist/jason	v1.0.1-0.20160829104012-962e09b85496
github.com/aymerick/raymond	v2.0.2%2Bincompatible
github.com/beevik/etree	v1.6.0
github.com/boltdb/bolt	v1.3.1
github.com/brianvoe/gofakeit/v6	v6.28.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/christrenkamp/xsel	v0.9.16
github.com/clipperhouse/displaywidth	v0.10.0
github.com/clipperhouse/uax29/v2	v2.6.0
github.com/codegangsta/negroni	v1.0.0
github.com/corpix/uarand	v0.2.0
github.com/dghubble/sling	v1.4.2
github.com/dsnet/compress	v0.0.1
github.com/fatih/color	v1.18.0
github.com/fsnotify/fsnotify	v1.9.0
github.com/gabriel-vasile/mimetype	v1.4.13
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.30.3
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/go-zoo/bone	v1.3.0
github.com/goccmack/goutil	v1.2.3
github.com/golang-jwt/jwt/v4	v4.5.2
github.com/google/go-cmp	v0.7.0
github.com/google/go-querystring	v1.1.0
github.com/google/uuid	v1.6.0
github.com/gorilla/mux	v1.8.1
github.com/gorilla/websocket	v1.5.4-0.20250319132907-e064f32e3674
github.com/hashicorp/golang-lru	v1.0.2
github.com/icrowley/fake	v0.0.0-20240710202011-f797eb4a99c0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jackwakefield/gopac	v1.0.3-0.20180823145755-c4d2e0b9a672
github.com/kardianos/osext	v0.0.0-20190222173326-2bc1f35cddc0
github.com/leodido/go-urn	v1.4.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.19
github.com/mitchellh/go-homedir	v1.1.0
github.com/nxadm/tail	v1.4.11
github.com/olekukonko/cat	v0.0.0-20250911104152-50322a0618f6
github.com/olekukonko/errors	v1.2.0
github.com/olekukonko/ll	v0.1.6
github.com/olekukonko/tablewriter	v1.1.4
github.com/onsi/ginkgo	v1.16.5
github.com/onsi/gomega	v1.42.0
github.com/pborman/uuid	v1.2.1
github.com/pelletier/go-toml/v2	v2.2.4
github.com/phayes/freeport	v0.0.0-20220201140144-74d24b5ae9f5
github.com/pkg/errors	v0.9.1
github.com/rakyll/statik	v0.1.8
github.com/rcrowley/go-metrics	v0.0.0-20250401214520-65e299d6c5c9
github.com/robertkrimen/otto	v0.5.1
github.com/ryanuber/go-glob	v1.0.0
github.com/sagikazarmark/locafero	v0.11.0
github.com/sirupsen/logrus	v1.9.4
github.com/sourcegraph/conc	v0.3.1-0.20240121214520-5f936abd7ae8
github.com/spectolabs/goproxy	v0.0.0-20240717215706-55e01f38b2c9
github.com/spectolabs/goproxy/ext	v0.0.0-20240717215706-55e01f38b2c9
github.com/spectolabs/goxml2json	v0.0.0-20240121223617-8e03292c14ea
github.com/spectolabs/raymond	v2.0.3-0.20240827093205-07f3a7bebd7d%2Bincompatible
github.com/spf13/afero	v1.15.0
github.com/spf13/cast	v1.10.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/spf13/viper	v1.21.0
github.com/subosito/gotenv	v1.6.0
github.com/tdewolff/minify/v2	v2.24.13
github.com/tdewolff/parse/v2	v2.8.12
github.com/xeipuuv/gojsonpointer	v0.0.0-20190905194746-02993c407bfb
github.com/xeipuuv/gojsonreference	v0.0.0-20180127040603-bd5ef7bd5415
github.com/xeipuuv/gojsonschema	v1.2.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.53.0
golang.org/x/net	v0.55.0
golang.org/x/sys	v0.46.0
golang.org/x/term	v0.44.0
golang.org/x/text	v0.38.0
gonum.org/v1/gonum	v0.17.0
gopkg.in/sourcemap.v1	v1.0.5
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
k8s.io/client-go	v0.36.2
