cloud.google.com/go/auth	v0.16.1
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/compute/metadata	v0.9.0
filippo.io/edwards25519	v1.2.0
github.com/AlekSi/pointer	v1.2.0
github.com/benbjohnson/clock	v1.3.5
github.com/blendle/zapdriver	v1.3.1
github.com/buger/jsonparser	v1.1.2
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.18.0
github.com/felixge/httpsnoop	v1.0.4
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.9.0
github.com/gagliardetto/binary	v0.8.0
github.com/gagliardetto/gofuzz	v1.2.2
github.com/gagliardetto/treeout	v0.1.4
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/goccy/go-json	v0.10.6
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/s2a-go	v0.1.9
github.com/google/uuid	v1.6.0
github.com/googleapis/enterprise-certificate-proxy	v0.3.6
github.com/googleapis/gax-go/v2	v2.14.2
github.com/gorilla/rpc	v1.2.1
github.com/gorilla/websocket	v1.5.3
github.com/inconshreveable/mousetrap	v1.1.0
github.com/json-iterator/go	v1.1.12
github.com/klauspost/compress	v1.18.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/logrusorgru/aurora	v2.0.3%2Bincompatible
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mitchellh/go-testing-interface	v1.14.1
github.com/modern-go/concurrent	v0.0.0-20180228061459-e0a39a4cb421
github.com/modern-go/reflect2	v1.0.2
github.com/mostynb/zstdpool-freelist	v0.0.0-20201229113212-927304c0c3b1
github.com/nxadm/tail	v1.4.4
github.com/oasisprotocol/curve25519-voi	v0.0.0-20251114093237-2ab5a27a1729
github.com/onsi/ginkgo	v1.12.1
github.com/onsi/gomega	v1.10.1
github.com/pelletier/go-toml/v2	v2.2.4
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/ryanuber/columnize	v2.1.2%2Bincompatible
github.com/sagikazarmark/locafero	v0.11.0
github.com/shopspring/decimal	v1.3.1
github.com/sourcegraph/conc	v0.3.1-0.20240121214520-5f936abd7ae8
github.com/spf13/afero	v1.15.0
github.com/spf13/cast	v1.10.0
github.com/spf13/cobra	v1.9.1
github.com/spf13/pflag	v1.0.10
github.com/spf13/viper	v1.21.0
github.com/streamingfast/logging	v0.0.0-20250404134358-92b15d2fbd2e
github.com/stretchr/testify	v1.11.1
github.com/subosito/gotenv	v1.6.0
github.com/test-go/testify	v1.1.4
github.com/tyler-smith/go-bip39	v1.1.0
go.mongodb.org/mongo-driver/v2	v2.5.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.60.0
go.opentelemetry.io/otel	v1.39.0
go.opentelemetry.io/otel/metric	v1.39.0
go.opentelemetry.io/otel/sdk	v1.39.0
go.opentelemetry.io/otel/sdk/metric	v1.39.0
go.opentelemetry.io/otel/trace	v1.39.0
go.uber.org/atomic	v1.11.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/ratelimit	v0.3.1
go.uber.org/zap	v1.27.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.47.0
golang.org/x/net	v0.49.0
golang.org/x/oauth2	v0.34.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.40.0
golang.org/x/term	v0.39.0
golang.org/x/text	v0.33.0
golang.org/x/time	v0.11.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gonum.org/v1/gonum	v0.17.0
google.golang.org/api	v0.233.0
google.golang.org/genproto	v0.0.0-20250505200425-f936aa4a68b2
google.golang.org/genproto/googleapis/api	v0.0.0-20260120221211-b8f7ae30c516
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260120221211-b8f7ae30c516
google.golang.org/grpc	v1.80.0
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
