github.com/BurntSushi/toml	v1.2.0
github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/chungthuang/quic-go	v0.45.1-0.20250428085412-43229ad201fd
github.com/cloudflare/backoff	v0.0.0-20240920015135-e46b80a3a7d0
github.com/coreos/go-oidc/v3	v3.17.0
github.com/coreos/go-systemd/v22	v22.5.0
github.com/cpuguy83/go-md2man/v2	v2.0.0
github.com/ebitengine/purego	v0.10.0
github.com/facebookgo/grace	v0.0.0-20180706040059-75cf19382434
github.com/fsnotify/fsnotify	v1.4.9
github.com/getsentry/sentry-go	v0.43.0
github.com/go-chi/chi/v5	v5.3.1
github.com/go-chi/cors	v1.2.1
github.com/go-jose/go-jose/v4	v4.1.4
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.2.6
github.com/go-task/slim-sprig/v3	v3.0.0
github.com/gobwas/httphead	v0.1.0
github.com/gobwas/pool	v0.2.1
github.com/gobwas/ws	v1.2.1
github.com/google/gopacket	v1.1.19
github.com/google/pprof	v0.0.0-20250418163039-24c5476c6587
github.com/google/uuid	v1.6.0
github.com/gorilla/websocket	v1.5.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.28.0
github.com/ipostelnik/cli/v2	v2.3.1-0.20210324024421-b6ea8234fe3d
github.com/json-iterator/go	v1.1.12
github.com/klauspost/compress	v1.18.0
github.com/lufia/plan9stats	v0.0.0-20211012122336-39d0f177ccd0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/mitchellh/go-homedir	v1.1.0
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/onsi/ginkgo/v2	v2.23.4
github.com/pkg/errors	v0.9.1
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55
github.com/prometheus/client_golang	v1.22.0
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.64.0
github.com/prometheus/procfs	v0.15.1
github.com/rs/zerolog	v1.20.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/shirou/gopsutil/v4	v4.26.3
github.com/tklauser/go-sysconf	v0.3.16
github.com/tklauser/numcpus	v0.11.0
github.com/yusufpapurcu/wmi	v1.2.4
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/propagators	v0.22.0
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/sdk	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
go.opentelemetry.io/proto/otlp	v1.10.0
go.uber.org/automaxprocs	v1.6.0
go.uber.org/mock	v0.5.1
golang.org/x/crypto	v0.52.0
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
golang.org/x/tools	v0.44.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260226221140-a57be14db171
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260226221140-a57be14db171
google.golang.org/grpc	v1.81.1
google.golang.org/protobuf	v1.36.11
gopkg.in/natefinch/lumberjack.v2	v2.0.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
nhooyr.io/websocket	v1.8.7
zombiezen.com/go/capnproto2	v2.18.0+incompatible
