github.com/cespare/xxhash/v2	v2.1.2
github.com/davecgh/go-spew	v1.1.1
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/fsnotify/fsnotify	v1.4.9
github.com/go-redis/redis/v8	v8.11.4
github.com/google/uuid	v1.3.0
github.com/klauspost/compress	v1.15.14
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.4
github.com/onsi/gomega	v1.16.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.7.0
github.com/vmihailenco/go-tinylfu	v0.2.2
github.com/vmihailenco/msgpack/v5	v5.3.5
github.com/vmihailenco/tagparser/v2	v2.0.0
golang.org/x/exp	v0.0.0-20210526181343-b47a03e3048a
golang.org/x/net	v0.0.0-20210428140749-89ef3d95e781
golang.org/x/sync	v0.0.0-20210220032951-036812b2e83c
golang.org/x/sys	v0.0.0-20210423082822-04245dca01da
golang.org/x/text	v0.3.6
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
