github.com/denisenkom/go-mssqldb	v0.12.0
github.com/go-sql-driver/mysql	v1.6.0
github.com/golang-sql/civil	v0.0.0-20220223132316-b832511892a9
github.com/golang-sql/sqlexp	v0.0.0-20170517235910-f1bb20e5a188
github.com/google/uuid	v1.3.0
github.com/jinzhu/gorm	v1.9.16
github.com/jinzhu/inflection	v1.0.0
github.com/lib/pq	v1.10.5
github.com/mattn/go-sqlite3	v2.0.3%2Bincompatible
github.com/tkuchiki/go-timezone	v0.2.2
github.com/tkuchiki/parsetime	v0.3.0
golang.org/x/crypto	v0.0.0-20220427172511-eb4f295cb31f
gopkg.in/urfave/cli.v1	v1.20.0
