github.com/DataDog/zstd	v1.4.1
github.com/Sereal/Sereal	v0.0.0-20190618215532-0b8ac451a863
github.com/davecgh/go-spew	v1.1.1
github.com/golang/protobuf	v1.3.2
github.com/golang/snappy	v0.0.1
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.2.2
github.com/vmihailenco/msgpack	v4.0.4+incompatible
go.etcd.io/bbolt	v1.3.4
golang.org/x/crypto	v0.0.0-20190308221718-c2843e01d9a2
golang.org/x/net	v0.0.0-20191105084925-a882066a44e0
golang.org/x/sys	v0.0.0-20200202164722-d101bd2416d5
golang.org/x/text	v0.3.2
golang.org/x/tools	v0.0.0-20180917221912-90fa682c2a6e
google.golang.org/appengine	v1.6.5
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
