github.com/ClickHouse/clickhouse-go	v1.5.4
github.com/Shopify/sarama	v1.33.0
github.com/beorn7/perks	v1.0.1
github.com/bkaradzic/go-lz4	v1.0.0
github.com/bsm/sarama-cluster	v2.1.15%2Bincompatible
github.com/cespare/xxhash/v2	v2.1.2
github.com/cloudflare/golz4	v0.0.0-20150217214814-ef862a3cdc58
github.com/davecgh/go-spew	v1.1.1
github.com/eapache/go-resiliency	v1.2.0
github.com/eapache/go-xerial-snappy	v0.0.0-20180814174437-776d5712da21
github.com/eapache/queue	v1.1.0
github.com/fortytw2/leaktest	v1.3.0
github.com/frankban/quicktest	v1.14.2
github.com/fsnotify/fsnotify	v1.4.9
github.com/golang/protobuf	v1.5.2
github.com/golang/snappy	v0.0.4
github.com/google/go-cmp	v0.5.7
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-uuid	v1.0.2
github.com/jcmturner/aescts/v2	v2.0.0
github.com/jcmturner/dnsutils/v2	v2.0.0
github.com/jcmturner/gofork	v1.0.0
github.com/jcmturner/goidentity/v6	v6.0.1
github.com/jcmturner/gokrb5/v8	v8.4.2
github.com/jcmturner/rpc/v2	v2.0.3
github.com/klauspost/compress	v1.15.0
github.com/kr/pretty	v0.3.0
github.com/kr/text	v0.2.0
github.com/matttproud/golang_protobuf_extensions	v1.0.1
github.com/minio/highwayhash	v1.0.2
github.com/nats-io/jwt/v2	v2.2.1-0.20220330180145-442af02fd36a
github.com/nats-io/nats-server/v2	v2.8.2
github.com/nats-io/nats.go	v1.15.0
github.com/nats-io/nkeys	v0.3.0
github.com/nats-io/nuid	v1.0.1
github.com/nsqio/go-nsq	v1.1.0
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.5
github.com/onsi/gomega	v1.19.0
github.com/pierrec/lz4	v2.6.1%2Bincompatible
github.com/pierrec/lz4/v4	v4.1.14
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.12.2
github.com/prometheus/client_model	v0.2.0
github.com/prometheus/common	v0.32.1
github.com/prometheus/procfs	v0.7.3
github.com/rcrowley/go-metrics	v0.0.0-20201227073835-cf1acfcdf475
github.com/rogpeppe/go-internal	v1.6.1
github.com/segmentio/kafka-go	v0.4.31
github.com/stretchr/testify	v1.7.0
github.com/xdg/scram	v0.0.0-20180814205039-7eeb5667e42c
github.com/xdg/stringprep	v1.0.0
golang.org/x/crypto	v0.0.0-20220315160706-3147a52a75dd
golang.org/x/net	v0.0.0-20220513224357-95641704303c
golang.org/x/sys	v0.0.0-20220114195835-da31bd327af9
golang.org/x/text	v0.3.7
golang.org/x/time	v0.0.0-20211116232009-f0f3c7e86c11
google.golang.org/protobuf	v1.26.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20210107192922-496545a6307b
