github.com/AlecAivazis/survey/v2	v2.3.5
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver	v1.5.0
github.com/Masterminds/sprig	v2.22.0+incompatible
github.com/blang/semver/v4	v4.0.0
github.com/drone/envsubst	v1.0.3
github.com/fatih/color	v1.13.0
github.com/fsnotify/fsnotify	v1.5.4
github.com/golang/protobuf	v1.5.2
github.com/google/uuid	v1.1.2
github.com/hashicorp/go-hclog	v1.2.1
github.com/hashicorp/go-plugin	v1.4.4
github.com/hashicorp/hcl	v1.0.0
github.com/hashicorp/yamux	v0.0.0-20180604194846-3520598351bb
github.com/huandu/xstrings	v1.3.2
github.com/imdario/mergo	v0.3.13
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/magiconair/properties	v1.8.6
github.com/mattn/go-colorable	v0.1.12
github.com/mattn/go-isatty	v0.0.14
github.com/mgutz/ansi	v0.0.0-20170206155736-9520e82c474b
github.com/mitchellh/copystructure	v1.2.0
github.com/mitchellh/go-testing-interface	v0.0.0-20171004221916-a61a99592b77
github.com/mitchellh/mapstructure	v1.5.0
github.com/mitchellh/reflectwalk	v1.0.2
github.com/oklog/run	v1.0.0
github.com/pelletier/go-toml/v2	v2.0.1
github.com/pkg/errors	v0.9.1
github.com/rhysd/abspath	v0.0.0-20200817132137-9532ba017882
github.com/sirupsen/logrus	v1.8.1
github.com/spf13/afero	v1.8.2
github.com/spf13/cast	v1.5.0
github.com/spf13/cobra	v1.4.0
github.com/spf13/jwalterweatherman	v1.1.0
github.com/spf13/pflag	v1.0.5
github.com/spf13/viper	v1.12.0
github.com/subosito/gotenv	v1.3.0
github.com/thoas/go-funk	v0.9.2
golang.org/x/crypto	v0.0.0-20220411220226-7b82a4e95df4
golang.org/x/mod	v0.5.1
golang.org/x/net	v0.0.0-20220520000938-2e3eb7b945c2
golang.org/x/sys	v0.0.0-20220520151302-bc2c85ada10a
golang.org/x/term	v0.0.0-20210927222741-03fcf44c2211
golang.org/x/text	v0.3.7
golang.org/x/xerrors	v0.0.0-20220517211312-f3a8303e98df
google.golang.org/genproto	v0.0.0-20220519153652-3a47de7e79bd
google.golang.org/grpc	v1.47.0
google.golang.org/protobuf	v1.28.0
gopkg.in/ini.v1	v1.66.4
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
