github.com/gdamore/encoding	v1.0.1
github.com/gdamore/tcell/v2	v2.13.10
github.com/go-ole/go-ole	v1.3.0
github.com/kelseyhightower/envconfig	v1.4.0
github.com/lucasb-eyer/go-colorful	v1.3.0
github.com/lufia/plan9stats	v0.0.0-20251013123823-9fd1530e3ec3
github.com/mikioh/tcp	v0.0.0-20190314235350-803a9b46060c
github.com/mikioh/tcpinfo	v0.0.0-20190314235526-30a79bb1804b
github.com/mikioh/tcpopt	v0.0.0-20190314235656-172688c1accc
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/oschwald/geoip2-golang	v1.13.0
github.com/oschwald/maxminddb-golang	v1.13.1
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.70.0
github.com/rivo/tview	v0.42.0
github.com/rivo/uniseg	v0.4.7
github.com/shirou/gopsutil/v3	v3.24.5
github.com/shoenig/go-m1cpu	v0.1.7
github.com/tklauser/go-sysconf	v0.3.16
github.com/tklauser/numcpus	v0.11.0
github.com/yusufpapurcu/wmi	v1.2.4
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/text	v0.38.0
google.golang.org/protobuf	v1.36.11
gopkg.in/yaml.v2	v2.4.0
