github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/couchbase/gocb-opentelemetry	v0.3.1-0.20260216135946-0c6fdc596351
github.com/couchbase/gocb/v2/internal/cmd/fit-performer	
github.com/couchbase/gocbcore/v10	v10.9.2-0.20260706130047-a1498fe1b376
github.com/couchbase/gocbcoreps	v0.1.5-0.20260413093139-b38df312dd87
github.com/couchbase/goprotostellar	v1.0.6-0.20260427185542-d3cc7955fca9
github.com/couchbaselabs/gocaves/client	v0.0.0-20250107114554-f96479220ae8
github.com/couchbaselabs/gocbconnstr/v2	v2.0.0
github.com/davecgh/go-spew	v1.1.1
github.com/ebitengine/purego	v0.10.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-ole/go-ole	v1.2.6
github.com/golang/protobuf	v1.5.4
github.com/golang/snappy	v1.0.0
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/gorilla/websocket	v1.5.3
github.com/grpc-ecosystem/grpc-gateway/v2	v2.29.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/lufia/plan9stats	v0.0.0-20211012122336-39d0f177ccd0
github.com/pmezard/go-difflib	v1.0.0
github.com/power-devops/perfstat	v0.0.0-20240221224432-82ca36839d55
github.com/rogpeppe/go-internal	v1.14.1
github.com/shirou/gopsutil/v4	v4.26.6
github.com/sirupsen/logrus	v1.9.4
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/tklauser/go-sysconf	v0.3.16
github.com/tklauser/numcpus	v0.11.0
github.com/yusufpapurcu/wmi	v1.2.4
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc	v0.69.0
go.opentelemetry.io/otel	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.44.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc	v1.44.0
go.opentelemetry.io/otel/metric	v1.44.0
go.opentelemetry.io/otel/metric/x	v0.66.0
go.opentelemetry.io/otel/sdk	v1.44.0
go.opentelemetry.io/otel/sdk/metric	v1.44.0
go.opentelemetry.io/otel/trace	v1.44.0
go.opentelemetry.io/proto/otlp	v1.10.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.28.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/net	v0.57.0
golang.org/x/sys	v0.47.0
golang.org/x/text	v0.40.0
gonum.org/v1/gonum	v0.17.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260713224248-f5fc221cf8c4
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260706201446-f0a921348800
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260713224248-f5fc221cf8c4
google.golang.org/grpc	v1.82.0
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
