github.com/BurntSushi/toml	v0.3.1
github.com/alicebob/gopher-json	v0.0.0-20180125190556-5a6b3ba71ee6
github.com/alicebob/miniredis	v2.5.0+incompatible
github.com/cupcake/rdb	v0.0.0-20161107195141-43ba34106c76
github.com/davecgh/go-spew	v1.1.1
github.com/edsrzf/mmap-go	v0.0.0-20170320065105-0bce6a688712
github.com/fsnotify/fsnotify	v1.4.7
github.com/glendc/gopher-json	v0.0.0-20170414221815-dc4743023d0c
github.com/golang/protobuf	v1.2.0
github.com/golang/snappy	v0.0.0-20170215233205-553a64147049
github.com/gomodule/redigo	v2.0.0+incompatible
github.com/hpcloud/tail	v1.0.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/onsi/ginkgo	v1.12.0
github.com/onsi/gomega	v1.7.1
github.com/pelletier/go-toml	v1.0.1
github.com/peterh/liner	v1.0.1-0.20171122030339-3681c2a91233
github.com/siddontang/go	v0.0.0-20170517070808-cb568a3e5cc0
github.com/siddontang/goredis	v0.0.0-20150324035039-760763f78400
github.com/siddontang/rdb	v0.0.0-20150307021120-fc89ed2e418d
github.com/syndtr/goleveldb	v0.0.0-20160425020131-cfa635847112
github.com/ugorji/go	v0.0.0-20171122102828-84cb69a8af83
github.com/yuin/gopher-lua	v0.0.0-20171031051903-609c9cd26973
golang.org/x/net	v0.0.0-20180906233101-161cd47e91fd
golang.org/x/sync	v0.0.0-20180314180146-1d60e4601c6f
golang.org/x/sys	v0.0.0-20191120155948-bd437916bb0e
golang.org/x/text	v0.3.0
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/mgo.v2	v2.0.0-20190816093944-a6b53ec6cb22
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.2.8
