github.com/aclements/go-moremath	v0.0.0-20210112150236-f10218a38794
github.com/bwmarrin/snowflake	v0.3.0
github.com/cespare/xxhash/v2	v2.2.0
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.1
github.com/dgraph-io/badger/v4	v4.2.0
github.com/dgraph-io/ristretto	v0.1.1
github.com/dgryski/go-farm	v0.0.0-20190423205320-6a90982ecee2
github.com/dustin/go-humanize	v1.0.1
github.com/go-ole/go-ole	v1.2.6
github.com/gofrs/flock	v0.8.1
github.com/gogo/protobuf	v1.3.2
github.com/golang/glog	v1.2.0
github.com/golang/groupcache	v0.0.0-20190702054246-869f871628b6
github.com/golang/protobuf	v1.5.2
github.com/golang/snappy	v0.0.3
github.com/google/flatbuffers	v1.12.1
github.com/google/go-cmp	v0.6.0
github.com/google/uuid	v1.6.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/kisielk/errcheck	v1.5.0
github.com/kisielk/gotool	v1.0.0
github.com/klauspost/compress	v1.17.4
github.com/kr/pretty	v0.2.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/lotusdblabs/bbolt	v1.3.9-0.20250108061345-78c23c59588d
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rosedblabs/diskhash	v0.0.0-20230910084041-289755737e2a
github.com/rosedblabs/wal	v1.3.8
github.com/shirou/gopsutil	v3.21.11+incompatible
github.com/spaolacci/murmur3	v1.1.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/valyala/bytebufferpool	v1.0.0
github.com/yuin/goldmark	v1.2.1
github.com/yusufpapurcu/wmi	v1.2.4
go.etcd.io/bbolt	v1.5.0
go.etcd.io/gofail	v0.2.0
go.opencensus.io	v0.22.5
golang.org/x/crypto	v0.16.0
golang.org/x/mod	v0.27.0
golang.org/x/net	v0.19.0
golang.org/x/perf	v0.0.0-20250813145418-2f7363a06fe1
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.15.0
golang.org/x/text	v0.14.0
golang.org/x/tools	v0.36.0
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/genproto	v0.0.0-20230110181048-76db0878b65f
google.golang.org/grpc	v1.53.0
google.golang.org/protobuf	v1.28.1
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v2	v2.2.8
gopkg.in/yaml.v3	v3.0.1
