github.com/BurntSushi/toml	v0.3.1
github.com/benbjohnson/clock	v1.1.0
github.com/bwmarrin/snowflake	v0.3.0
github.com/cpuguy83/go-md2man/v2	v2.0.0
github.com/davecgh/go-spew	v1.1.1
github.com/golang/protobuf	v1.5.2
github.com/google/go-cmp	v0.5.5
github.com/google/uuid	v1.2.0
github.com/gorilla/websocket	v1.4.2
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/pingcap/check	v0.0.0-20200212061837-5e12011dc712
github.com/pingcap/errors	v0.11.4
github.com/pingcap/log	v0.0.0-20210625125904-98ed8e2eb1c7
github.com/pkg/errors	v0.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/stretchr/testify	v1.7.0
github.com/urfave/cli	v1.22.5
go.uber.org/atomic	v1.8.0
go.uber.org/goleak	v1.1.10
go.uber.org/multierr	v1.7.0
go.uber.org/zap	v1.18.1
golang.org/x/net	v0.0.0-20210614182718-04defd469f4e
golang.org/x/sys	v0.0.0-20210630005230-0f9fa26af87c
golang.org/x/text	v0.3.6
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
google.golang.org/genproto	v0.0.0-20210630183607-d20f26d13c79
google.golang.org/grpc	v1.39.0
google.golang.org/protobuf	v1.27.1
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/natefinch/lumberjack.v2	v2.0.0
gopkg.in/yaml.v2	v2.2.8
gopkg.in/yaml.v3	v3.0.0-20210107192922-496545a6307b
honnef.co/go/tools	v0.2.0
