github.com/Delta456/box-cli-maker/v2	v2.2.3-0.20220726152659-05b4b886eb7b
github.com/MakeNowJust/heredoc/v2	v2.0.1
github.com/Masterminds/goutils	v1.1.1
github.com/Masterminds/semver/v3	v3.2.0
github.com/Masterminds/sprig/v3	v3.2.3
github.com/Netflix/go-expect	v0.0.0-20220104043353-73e0943537d2
github.com/andybalholm/brotli	v1.0.1
github.com/araddon/dateparse	v0.0.0-20210429162001-6b43995a97de
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/carolynvs/magex	v0.9.0
github.com/creack/pty	v1.1.17
github.com/davecgh/go-spew	v1.1.1
github.com/dsnet/compress	v0.0.2-0.20210315054119-f66993602bf5
github.com/dustin/go-humanize	v1.0.1
github.com/fatih/color	v1.13.0
github.com/goccy/go-yaml	v1.11.0
github.com/golang/snappy	v0.0.2
github.com/google/uuid	v1.1.1
github.com/gookit/color	v1.5.2
github.com/hashicorp/go-version	v1.6.0
github.com/hokaccha/go-prettyjson	v0.0.0-20211117102719-0474bc63780f
github.com/huandu/xstrings	v1.3.3
github.com/imdario/mergo	v0.3.11
github.com/inconshreveable/mousetrap	v1.1.0
github.com/klauspost/compress	v1.11.4
github.com/klauspost/pgzip	v1.2.5
github.com/kr/pretty	v0.2.1
github.com/kr/pretty	v0.3.0
github.com/kr/text	v0.2.0
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/magefile/mage	v1.13.0
github.com/magefile/mage	v1.14.0
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-colorable	v0.1.9
github.com/mattn/go-isatty	v0.0.14
github.com/mattn/go-isatty	v0.0.18
github.com/mattn/go-runewidth	v0.0.10
github.com/mattn/go-runewidth	v0.0.14
github.com/mattn/go-shellwords	v1.0.12
github.com/mholt/archiver/v3	v3.5.1
github.com/mitchellh/copystructure	v1.0.0
github.com/mitchellh/reflectwalk	v1.0.0
github.com/mszostok/version/example	
github.com/muesli/reflow	v0.3.0
github.com/muesli/termenv	v0.15.1
github.com/nwaples/rardecode	v1.1.0
github.com/pierrec/lz4/v4	v4.1.2
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.1.0
github.com/rivo/uniseg	v0.2.0
github.com/rogpeppe/go-internal	v1.6.1
github.com/samber/lo	v1.26.0
github.com/samber/lo	v1.38.1
github.com/sebdah/goldie/v2	v2.5.3
github.com/sergi/go-diff	v1.0.0
github.com/shopspring/decimal	v1.2.0
github.com/spf13/cast	v1.3.1
github.com/spf13/cobra	v1.7.0
github.com/spf13/pflag	v1.0.5
github.com/stretchr/testify	v1.7.1
github.com/stretchr/testify	v1.8.2
github.com/ulikunitz/xz	v0.5.9
github.com/xi2/xz	v0.0.0-20171230120015-48954b6210f8
github.com/xo/terminfo	v0.0.0-20210125001918-ca9a967f8778
go.szostok.io/magex	v0.0.0-20220918222307-662eadbbf67e
go.szostok.io/magex	v0.0.0-20220919223013-70758dd12bda
golang.org/x/crypto	v0.7.0
golang.org/x/exp	v0.0.0-20220303212507-bbda1eaf7a17
golang.org/x/sys	v0.1.0
golang.org/x/sys	v0.6.0
golang.org/x/term	v0.6.0
golang.org/x/xerrors	v0.0.0-20220907171357-04be3eba64a2
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2	v2.3.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
tools	
