github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/creack/pty	v1.1.9
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.9.0
github.com/gabriel-vasile/mimetype	v1.4.9
github.com/go-logr/logr	v1.4.2
github.com/go-playground/assert/v2	v2.2.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/mold/v4	v4.5.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.26.0
github.com/go-task/slim-sprig	v0.0.0-20230315185526-52ccab3ef572
github.com/go-task/slim-sprig/v3	v3.0.0
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/google/go-cmp	v0.6.0
github.com/google/pprof	v0.0.0-20241210010833-40e02aabc2ad
github.com/gosimple/slug	v1.15.0
github.com/gosimple/unidecode	v1.0.1
github.com/inconshreveable/mousetrap	v1.1.0
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/leodido/go-urn	v1.4.0
github.com/leodido/structcli/examples/collections	
github.com/leodido/structcli/examples/customtypes	
github.com/leodido/structcli/examples/full	
github.com/leodido/structcli/examples/loginsvc	
github.com/leodido/structcli/examples/mcp-command-factory	
github.com/leodido/structcli/examples/minimal	
github.com/leodido/structcli/examples/simple	
github.com/leodido/structcli/examples/structerr	
github.com/onsi/ginkgo/v2	v2.22.2
github.com/onsi/gomega	v1.36.2
github.com/pelletier/go-toml/v2	v2.2.4
github.com/pkg/diff	v0.0.0-20210226163009-20ebb0f2a09e
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/rogpeppe/go-internal	v1.9.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/sagikazarmark/locafero	v0.11.0
github.com/segmentio/go-camelcase	v0.0.0-20160726192923-7085f1e3c734
github.com/segmentio/go-snakecase	v1.2.0
github.com/sirupsen/logrus	v1.9.3
github.com/sourcegraph/conc	v0.3.1-0.20240121214520-5f936abd7ae8
github.com/spf13/afero	v1.15.0
github.com/spf13/cast	v1.10.0
github.com/spf13/cobra	v1.9.1
github.com/spf13/pflag	v1.0.10
github.com/spf13/viper	v1.21.0
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/subosito/gotenv	v1.6.0
github.com/thediveo/enumflag/v2	v2.0.7
github.com/thediveo/success	v1.0.2
github.com/yuin/goldmark	v1.4.13
go.uber.org/atomic	v1.9.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.48.0
golang.org/x/exp	v0.0.0-20250606033433-dcc06ee1d476
golang.org/x/mod	v0.32.0
golang.org/x/net	v0.50.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.41.0
golang.org/x/telemetry	v0.0.0-20260109210033-bd525da824e2
golang.org/x/term	v0.40.0
golang.org/x/text	v0.34.0
golang.org/x/tools	v0.41.0
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/errgo.v2	v2.1.0
gopkg.in/yaml.v3	v3.0.1
pgregory.net/rapid	v1.2.0
