github.com/coreos/go-iptables	v0.6.1-0.20220901214115-d2b8608923d1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/frankban/quicktest	v1.14.6
github.com/fsnotify/fsnotify	v1.7.0
github.com/google/go-cmp	v0.5.9
github.com/hashicorp/hcl	v1.0.0
github.com/inconshreveable/mousetrap	v1.0.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/magiconair/properties	v1.8.7
github.com/mattn/go-runewidth	v0.0.14
github.com/mitchellh/mapstructure	v1.5.0
github.com/olekukonko/tablewriter	v0.0.5
github.com/pelletier/go-toml/v2	v2.2.2
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/rivo/uniseg	v0.4.4
github.com/rogpeppe/go-internal	v1.12.0
github.com/sagikazarmark/locafero	v0.4.0
github.com/sagikazarmark/slog-shim	v0.1.0
github.com/sourcegraph/conc	v0.3.0
github.com/spf13/afero	v1.11.0
github.com/spf13/cast	v1.6.0
github.com/spf13/cobra	v1.5.0
github.com/spf13/pflag	v1.0.5
github.com/spf13/viper	v1.19.0
github.com/stretchr/testify	v1.9.0
github.com/subosito/gotenv	v1.6.0
go.uber.org/atomic	v1.9.0
go.uber.org/multierr	v1.9.0
golang.org/x/exp	v0.0.0-20240222234643-814bf88cf225
golang.org/x/sync	v0.8.0
golang.org/x/sys	v0.18.0
golang.org/x/text	v0.14.0
golang.org/x/tools	v0.18.0
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/ini.v1	v1.67.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
