github.com/BurntSushi/toml	v0.3.1
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.7
github.com/golang/glog	v0.0.0-20160126235308-23def4e6c14b
github.com/golang/protobuf	v1.3.2
github.com/google/go-cmp	v0.2.0
github.com/gorhill/cronexpr	v0.0.0-20180427100037-88b0669f7d75
github.com/hashicorp/hcl	v1.0.0
github.com/jtolds/gls	v4.20.0%2Bincompatible
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.1.0
github.com/magiconair/properties	v1.8.1
github.com/mitchellh/mapstructure	v1.1.2
github.com/pelletier/go-toml	v1.2.0
github.com/pmezard/go-difflib	v1.0.0
github.com/smartystreets/assertions	v0.0.0-20180927180507-b2de0cb4f26d
github.com/smartystreets/goconvey	v1.6.4
github.com/spf13/afero	v1.1.2
github.com/spf13/cast	v1.3.0
github.com/spf13/cobra	v0.0.6
github.com/spf13/jwalterweatherman	v1.0.0
github.com/spf13/pflag	v1.0.5
github.com/spf13/viper	v1.6.2
github.com/stretchr/testify	v1.3.0
github.com/subosito/gotenv	v1.2.0
github.com/x-mod/build	v0.2.2
github.com/x-mod/cmd	v0.2.11
github.com/x-mod/errors	v0.2.3
github.com/x-mod/routine	v1.3.0
github.com/x-mod/sigtrap	v0.1.0
golang.org/x/net	v0.0.0-20190522155817-f3200d17e092
golang.org/x/sys	v0.0.0-20190215142949-d0b11bdaac8a
golang.org/x/text	v0.3.0
google.golang.org/genproto	v0.0.0-20190819201941-24fa4b261c55
google.golang.org/grpc	v1.27.1
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/ini.v1	v1.51.0
gopkg.in/yaml.v2	v2.2.4
