filippo.io/bigmod	v0.1.1-0.20260103110540-f8a47775ebe5
go.opentelemetry.io/proto/otlp	v1.10.0
go.uber.org/dig	v1.19.0
go.uber.org/fx	v1.24.0
go.uber.org/goleak	v1.3.0
go.uber.org/mock	v0.5.2
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.28.0
go.yaml.in/yaml/v2	v2.4.4
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.53.0
golang.org/x/exp	v0.0.0-20260611194520-c48552f49976
golang.org/x/image	v0.23.0
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.56.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sync	v0.21.0
golang.org/x/sys	v0.46.0
golang.org/x/telemetry	v0.0.0-20260610154732-fb80ec83bdd9
golang.org/x/term	v0.44.0
golang.org/x/text	v0.38.0
golang.org/x/time	v0.12.0
golang.org/x/tools	v0.46.0
golang.org/x/tools/go/expect	v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest	v0.1.1-deprecated
golang.org/x/xerrors	v0.0.0-20240903120638-7835f813f4da
gonum.org/v1/gonum	v0.17.0
google.golang.org/appengine	v1.6.8
google.golang.org/genproto/googleapis/api	v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260526163538-3dc84a4a5aaa
google.golang.org/grpc	v1.81.1
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/errgo.v2	v2.1.0
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/irc.v4	v4.0.0
gopkg.in/natefinch/lumberjack.v2	v2.2.1
gopkg.in/readline.v1	v1.0.0-20160726135117-62c6fe619375
gopkg.in/sourcemap.v1	v1.0.5
gopkg.in/telebot.v3	v3.0.0-20220130115853-f0291132d3c3
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
lukechampine.com/blake3	v1.4.1
maunium.net/go/mauflag	v1.0.0
maunium.net/go/mautrix	v0.25.1
mellium.im/reader	v0.1.0
mellium.im/sasl	v0.3.2
mellium.im/xmlstream	v0.15.4
mellium.im/xmpp	v0.23.0
mvdan.cc/xurls/v2	v2.6.0
