filippo.io/edwards25519	v1.2.0
github.com/brianvoe/gofakeit/v5	v5.11.2
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/cpuguy83/go-md2man/v2	v2.0.7
github.com/davecgh/go-spew	v1.1.1
github.com/denisenkom/go-mssqldb	v0.12.3
github.com/dustin/go-humanize	v1.0.1
github.com/fatih/color	v1.18.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-sql-driver/mysql	v1.9.3
github.com/golang-sql/civil	v0.0.0-20220223132316-b832511892a9
github.com/golang-sql/sqlexp	v0.1.0
github.com/google/uuid	v1.6.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.28.0
github.com/jinzhu/inflection	v1.0.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/newrelic/go-agent/v3	v3.42.0
github.com/puzpuzpuz/xsync/v3	v3.5.1
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/rs/zerolog	v1.34.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/tmthrgd/go-hex	v0.0.0-20190904060850-447a3041c3bc
github.com/uptrace/bun/dbfixture	v1.2.18
github.com/uptrace/bun/dialect/mssqldialect	v1.2.18
github.com/uptrace/bun/dialect/mysqldialect	v1.2.18
github.com/uptrace/bun/dialect/pgdialect	v1.2.18
github.com/uptrace/bun/dialect/sqlitedialect	v1.2.18
github.com/uptrace/bun/driver/pgdriver	v1.2.18
github.com/uptrace/bun/driver/sqliteshim	v1.2.18
github.com/uptrace/bun/extra/bundebug	v1.2.18
github.com/uptrace/bun/extra/bunotel	v1.2.18
github.com/uptrace/opentelemetry-go-extra/otelsql	v0.3.2
github.com/uptrace/uptrace-go	v1.40.0
github.com/urfave/cli/v2	v2.27.7
github.com/vmihailenco/msgpack/v5	v5.4.1
github.com/vmihailenco/tagparser/v2	v2.0.0
github.com/xrash/smetrics	v0.0.0-20250705151800-55b8f293f342
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/runtime	v0.65.0
go.opentelemetry.io/contrib/processors/minsev	v0.13.0
go.opentelemetry.io/otel	v1.40.0
go.opentelemetry.io/otel/exporters/otlp/otlplog/otlploghttp	v0.16.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp	v1.40.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.40.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp	v1.40.0
go.opentelemetry.io/otel/exporters/stdout/stdouttrace	v1.40.0
go.opentelemetry.io/otel/log	v0.16.0
go.opentelemetry.io/otel/metric	v1.40.0
go.opentelemetry.io/otel/sdk	v1.40.0
go.opentelemetry.io/otel/sdk/log	v0.16.0
go.opentelemetry.io/otel/sdk/metric	v1.40.0
go.opentelemetry.io/otel/trace	v1.40.0
go.opentelemetry.io/proto/otlp	v1.9.0
golang.org/x/crypto	v0.48.0
golang.org/x/exp	v0.0.0-20260218203240-3dfff04db8fa
golang.org/x/mod	v0.33.0
golang.org/x/net	v0.51.0
golang.org/x/sys	v0.41.0
golang.org/x/text	v0.34.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260226221140-a57be14db171
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260226221140-a57be14db171
google.golang.org/grpc	v1.79.1
google.golang.org/protobuf	v1.36.11
gopkg.in/yaml.v3	v3.0.1
mellium.im/sasl	v0.3.2
modernc.org/libc	v1.68.0
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.11.0
modernc.org/sqlite	v1.46.1
