github.com/Eun/go-convert	v1.2.12
github.com/Eun/go-doppelgangerreader	v0.0.0-20190911075941-30f1527f16b2
github.com/Eun/go-testdoc	v0.0.1
github.com/Eun/yaegi-template	v1.6.0
github.com/aaw/maybe_tls	v0.0.0-20160803104303-89c499bcc6aa
github.com/araddon/dateparse	v0.0.0-20200409225146-d820a6159ab1
github.com/dave/jennifer	v1.6.1
github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.6.0
github.com/google/gofuzz	v1.0.0
github.com/gookit/color	v1.5.2
github.com/gorilla/mux	v1.8.1
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-multierror	v1.1.0
github.com/itchyny/go-flags	v1.5.0
github.com/itchyny/gojq	v0.12.5
github.com/itchyny/timefmt-go	v0.1.3
github.com/json-iterator/go	v1.1.12
github.com/k0kubun/colorstring	v0.0.0-20150214042306-9440f1994b88
github.com/k0kubun/pp	v3.0.1+incompatible
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/lunixbochs/vtclean	v1.0.0
github.com/mattn/go-colorable	v0.1.7
github.com/mattn/go-isatty	v0.0.13
github.com/mattn/go-runewidth	v0.0.9
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.8.2
github.com/tidwall/pretty	v1.2.1
github.com/traefik/yaegi	v0.9.21
github.com/xo/terminfo	v0.0.0-20210125001918-ca9a967f8778
github.com/yuin/goldmark	v1.4.13
go.uber.org/atomic	v1.9.0
go.uber.org/goleak	v1.1.12
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/lint	v0.0.0-20190930215403-16217165b5de
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/net	v0.0.0-20220722155237-a158d28d115b
golang.org/x/sync	v0.0.0-20220722155255-886fb9371eb4
golang.org/x/sys	v0.0.0-20220722155257-8c9f86f7a55f
golang.org/x/term	v0.0.0-20210927222741-03fcf44c2211
golang.org/x/text	v0.3.7
golang.org/x/tools	v0.1.12
golang.org/x/xerrors	v0.0.0-20200804184101-5ec99f83aff1
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/yaml.v3	v3.0.1
