github.com/darkhz/bluetuith
github.com/BurntSushi/toml v1.5.0
github.com/Southclaws/fault v0.8.2
github.com/Wifx/gonetworkmanager v0.5.0
github.com/bluetuith-org/bluetooth-classic v0.0.5
github.com/chengxilo/virtualterm v1.0.4
github.com/clipperhouse/stringish v0.1.1
github.com/clipperhouse/uax29/v2 v2.3.0
github.com/cpuguy83/go-md2man/v2 v2.0.7
github.com/cskr/pubsub/v2 v2.0.2
github.com/darkhz/tview v0.0.0-20240308094543-6078a888ff79
github.com/davecgh/go-spew v1.1.1
github.com/fatih/color v1.18.0
github.com/fsnotify/fsnotify v1.9.0
github.com/gdamore/encoding v1.0.1
github.com/gdamore/tcell/v2 v2.13.1
github.com/go-viper/mapstructure/v2 v2.4.0
github.com/godbus/dbus/v5 v5.2.0
github.com/google/go-cmp v0.7.0
github.com/google/uuid v1.6.0
github.com/hjson/hjson-go/v4 v4.5.0
github.com/jackc/chunkreader/v2 v2.0.1
github.com/jackc/pgconn v1.14.0
github.com/jackc/pgio v1.0.0
github.com/jackc/pgpassfile v1.0.0
github.com/jackc/pgproto3/v2 v2.3.2
github.com/jackc/pgservicefile v0.0.0-20221227161230-091c0ba34f0a
github.com/k0kubun/go-ansi v0.0.0-20180517002512-3bf9e2903213
github.com/knadh/koanf/maps v0.1.2
github.com/knadh/koanf/parsers/hjson v1.0.0
github.com/knadh/koanf/providers/cliflagv2 v1.0.1
github.com/knadh/koanf/providers/file v1.2.0
github.com/knadh/koanf/v2 v2.3.0
github.com/kr/pretty v0.3.1
github.com/kr/text v0.2.0
github.com/lucasb-eyer/go-colorful v1.3.0
github.com/mafik/pulseaudio v0.0.0-20240327130323-384e01075e6e
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.20
github.com/mattn/go-runewidth v0.0.19
github.com/mattn/go-sixel v0.0.5
github.com/mitchellh/colorstring v0.0.0-20190213212951-d06e56a500db
github.com/mitchellh/copystructure v1.2.0
github.com/mitchellh/reflectwalk v1.0.2
github.com/pkg/errors v0.9.1
github.com/pmezard/go-difflib v1.0.0
github.com/puzpuzpuz/xsync/v3 v3.5.1
github.com/rivo/uniseg v0.4.7
github.com/rogpeppe/go-internal v1.9.0
github.com/rs/xid v1.6.0
github.com/russross/blackfriday/v2 v2.1.0
github.com/schollz/progressbar/v3 v3.18.0
github.com/soniakeys/quant v1.0.0
github.com/stretchr/testify v1.9.0
github.com/ugorji/go/codec v1.3.1
github.com/urfave/cli/v2 v2.27.7
github.com/xrash/smetrics v0.0.0-20250705151800-55b8f293f342
github.com/yuin/goldmark v1.4.13
go.uber.org/atomic v1.11.0
golang.org/x/crypto v0.6.0
golang.org/x/mod v0.29.0
golang.org/x/net v0.6.0
golang.org/x/sync v0.18.0
golang.org/x/sys v0.38.0
golang.org/x/term v0.37.0
golang.org/x/text v0.31.0
golang.org/x/tools v0.38.0
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1 v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v3 v3.0.1
