github.com/blastrain/vitess-sqlparser	v0.0.0-20200914074247-af18b79da035
github.com/davecgh/go-spew	v1.1.0
github.com/deckarep/golang-set	v0.0.0-20180927150649-699df6a3acf6
github.com/fatih/color	v0.0.0-20160317093153-533cd7fd8a85
github.com/go-sql-driver/mysql	v1.5.0
github.com/jessevdk/go-flags	v0.0.0-20170212220246-460c7bb0abd6
github.com/juju/errors	v0.0.0-20170703010042-c7d06af17c68
github.com/juju/loggo	v0.0.0-20190526231331-6e530bcce5d8
github.com/juju/testing	v0.0.0-20191001232224-ce9dec17d28b
github.com/kr/pretty	v0.2.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/mattn/go-colorable	v0.0.0-20160220075935-9cbef7c35391
github.com/mattn/go-isatty	v0.0.0-20151211000621-56b76bdf51f7
github.com/mattn/go-sqlite3	v0.0.0-20170407154627-cf7286f069c3
github.com/pkg/errors	v0.8.1-0.20170910134614-2b3a18b5f0fb
github.com/pmezard/go-difflib	v1.0.0
github.com/schemalex/schemalex	v0.1.1
github.com/sergi/go-diff	v0.0.0-20170409071739-feef008d51ad
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.4.0
golang.org/x/net	v0.0.0-20170421002609-c8c74377599b
golang.org/x/sys	v0.0.0-20170421005244-ea9bcade75cb
golang.org/x/text	v0.0.0-20180302201248-b7ef84aaf62a
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/mgo.v2	v2.0.0-20190816093944-a6b53ec6cb22
gopkg.in/yaml.v2	v2.2.8
