dmitri.shuralyov.com/gpu/mtl	v0.0.0-20221208032759-85de2813cf6b
eliasnaur.com/font	v0.0.0-20230308162249-dd43949cb42d
gioui.org	v0.10.1
gioui.org/cpu	v0.0.0-20210808092351-bfe733dd3334
gioui.org/shader	v1.0.8
gioui.org/x	v0.10.0
git.sr.ht/~jackmordaunt/go-toast	v1.0.0
git.wow.st/gmp/jni	v0.0.0-20210610011705-34026c7e22d0
github.com/andybalholm/stroke	v0.0.0-20251027184313-5126dd7227a1
github.com/davecgh/go-spew	v1.1.1
github.com/esiqveland/notify	v0.11.0
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20231223183121-56fa3ac82ce7
github.com/go-ole/go-ole	v1.2.6
github.com/go-text/typesetting	v0.3.4
github.com/go-text/typesetting-utils	v0.0.0-20260223113751-2d88ac90dae3
github.com/godbus/dbus/v5	v5.0.6
github.com/google/go-cmp	v0.6.0
github.com/jezek/xgb	v1.1.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.8.0
github.com/tetratelabs/wabin	v0.0.0-20230304001439-f6f874872834
github.com/yuin/goldmark	v1.4.13
golang.org/x/arch	v0.28.0
golang.org/x/crypto	v0.46.0
golang.org/x/exp	v0.0.0-20260112195511-716be5621a96
golang.org/x/exp/shiny	v0.0.0-20260112195511-716be5621a96
golang.org/x/image	v0.35.0
golang.org/x/mobile	v0.0.0-20251209145715-2553ed8ce294
golang.org/x/mod	v0.32.0
golang.org/x/net	v0.48.0
golang.org/x/sync	v0.19.0
golang.org/x/sys	v0.40.0
golang.org/x/term	v0.38.0
golang.org/x/text	v0.33.0
golang.org/x/tools	v0.41.0
golang.org/x/tools/go/expect	v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest	v0.1.1-deprecated
gopkg.in/yaml.v3	v3.0.1
rsc.io/pdf	v0.1.1
