github.com/PuerkitoBio/goquery	v1.7.1
github.com/andybalholm/cascadia	v1.2.0
github.com/davecgh/go-spew	v1.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.3.0
golang.org/x/crypto	v0.0.0-20190308221718-c2843e01d9a2
golang.org/x/net	v0.0.0-20210825183410-e898025ed96a
golang.org/x/sys	v0.0.0-20210423082822-04245dca01da
golang.org/x/term	v0.0.0-20201126162022-7de9c90e9dd1
golang.org/x/text	v0.3.6
golang.org/x/tools	v0.0.0-20180917221912-90fa682c2a6e
