github.com/aws/aws-sdk-go	v1.44.266
github.com/davecgh/go-spew	v1.1.1
github.com/icza/gowut	v1.3.0
github.com/jmespath/go-jmespath	v0.4.0
github.com/jmespath/go-jmespath/internal/testify	v1.5.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/udhos/difflib	v0.0.0-20170223180222-9237ff6aafff
github.com/udhos/equalfile	v0.0.0-20180725151512-a22d6261a8df
github.com/udhos/lockfile	v0.0.0-20160928001432-1d49c987357a
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.9.0
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/net	v0.10.0
golang.org/x/sync	v0.0.0-20220722155255-886fb9371eb4
golang.org/x/sys	v0.8.0
golang.org/x/term	v0.8.0
golang.org/x/text	v0.9.0
golang.org/x/tools	v0.1.12
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.8
gopkg.in/yaml.v3	v3.0.1
