github.com/RoaringBitmap/roaring/v2	v2.14.5
github.com/bits-and-blooms/bitset	v1.24.2
github.com/blevesearch/bleve_index_api	v1.4.0
github.com/blevesearch/geo	v0.2.5
github.com/blevesearch/go-faiss	v1.1.5
github.com/blevesearch/go-metrics	v0.0.0-20201227073835-cf1acfcdf475
github.com/blevesearch/go-porterstemmer	v1.0.3
github.com/blevesearch/goleveldb	v1.0.1
github.com/blevesearch/gtreap	v0.1.1
github.com/blevesearch/mmap-go	v1.2.0
github.com/blevesearch/scorch_segment_api/v2	v2.4.8
github.com/blevesearch/segment	v0.9.1
github.com/blevesearch/snowball	v0.6.1
github.com/blevesearch/snowballstem	v0.9.0
github.com/blevesearch/stempel	v0.2.0
github.com/blevesearch/upsidedown_store_api	v1.0.2
github.com/blevesearch/vellum	v1.2.0
github.com/blevesearch/zapx/v11	v11.4.3
github.com/blevesearch/zapx/v12	v12.4.3
github.com/blevesearch/zapx/v13	v13.4.3
github.com/blevesearch/zapx/v14	v14.4.3
github.com/blevesearch/zapx/v15	v15.4.3
github.com/blevesearch/zapx/v16	v16.3.4
github.com/blevesearch/zapx/v17	v17.2.0
github.com/couchbase/ghistogram	v0.1.0
github.com/couchbase/moss	v0.2.0
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.7
github.com/golang/protobuf	v1.5.0
github.com/golang/snappy	v1.0.0
github.com/google/go-cmp	v0.7.0
github.com/google/gofuzz	v1.2.0
github.com/google/uuid	v1.6.0
github.com/hpcloud/tail	v1.0.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/json-iterator/go	v0.0.0-20171115153421-f7279a603ede
github.com/mdempsky/unconvert	v0.0.0-20250216222326-4a038b3d31f5
github.com/mschoch/smat	v0.2.0
github.com/onsi/ginkgo	v1.7.0
github.com/onsi/gomega	v1.4.3
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.9
github.com/stretchr/testify	v1.11.1
go.etcd.io/bbolt	v1.4.0
go.etcd.io/gofail	v0.2.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.51.0
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.55.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
golang.org/x/tools	v0.44.0
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
google.golang.org/protobuf	v1.36.6
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/fsnotify.v1	v1.4.7
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.2.1
gopkg.in/yaml.v3	v3.0.1
