github.com/gopherjs/gopherjs
github.com/cpuguy83/go-md2man/v2 v2.0.6
github.com/davecgh/go-spew v1.1.1
github.com/evanw/esbuild v0.25.4
github.com/fsnotify/fsnotify v1.5.1
github.com/google/go-cmp v0.5.8
github.com/inconshreveable/mousetrap v1.1.0
github.com/msvitok77/goembed v0.3.5
github.com/neelance/astrewrite v0.0.0-20160511093645-99348263ae86
github.com/neelance/sourcemap v0.0.0-20200213170602-2833bce08e4c
github.com/pmezard/go-difflib v1.0.0
github.com/russross/blackfriday/v2 v2.1.0
github.com/shurcooL/go v0.0.0-20200502201357-93f07166e636
github.com/sirupsen/logrus v1.8.3
github.com/spf13/cobra v1.9.1
github.com/spf13/pflag v1.0.6
github.com/stretchr/objx v0.1.0
github.com/stretchr/testify v1.7.0
github.com/yuin/goldmark v1.4.13
golang.org/x/mod v0.14.0
golang.org/x/net v0.19.0
golang.org/x/sync v0.5.0
golang.org/x/sys v0.10.0
golang.org/x/term v0.0.0-20220411215600-e5f449aeb171
golang.org/x/tools v0.16.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.1
