github.com/armon/go-metrics	v0.0.0-20190430140413-ec5e00d3c878
github.com/aws/aws-sdk-go	v1.23.20
github.com/burntsushi/toml	v0.3.1
github.com/coreos/bbolt	v1.3.2
github.com/coreos/etcd	v3.3.3%2Bincompatible
github.com/coreos/go-semver	v0.3.0
github.com/coreos/go-systemd	v0.0.0-20190321100706-95778dfbb74e
github.com/coreos/pkg	v0.0.0-20180928190104-399ea9e2e55f
github.com/davecgh/go-spew	v1.1.1
github.com/dgrijalva/jwt-go	v3.2.0%2Bincompatible
github.com/dustin/go-humanize	v1.0.0
github.com/ghodss/yaml	v1.0.0
github.com/goccy/go-yaml	v1.19.0
github.com/gogo/protobuf	v1.2.0
github.com/golang/groupcache	v0.0.0-20190129154638-5b532d6fd5ef
github.com/golang/protobuf	v1.3.1
github.com/golang/snappy	v0.0.1
github.com/google/btree	v1.0.0
github.com/gorilla/websocket	v1.4.0
github.com/grpc-ecosystem/go-grpc-prometheus	v1.2.0
github.com/grpc-ecosystem/grpc-gateway	v1.8.6
github.com/hashicorp/consul/api	v1.1.0
github.com/hashicorp/errwrap	v1.0.0
github.com/hashicorp/go-cleanhttp	v0.5.1
github.com/hashicorp/go-immutable-radix	v1.0.0
github.com/hashicorp/go-msgpack	v0.5.5
github.com/hashicorp/go-multierror	v1.0.0
github.com/hashicorp/go-retryablehttp	v0.5.4
github.com/hashicorp/go-rootcerts	v1.0.1
github.com/hashicorp/go-sockaddr	v1.0.2
github.com/hashicorp/golang-lru	v0.5.1
github.com/hashicorp/hcl	v1.0.0
github.com/hashicorp/serf	v0.8.2
github.com/hashicorp/vault/api	v1.0.4
github.com/hashicorp/vault/sdk	v0.1.13
github.com/jmespath/go-jmespath	v0.0.0-20180206201540-c2b33e8439af
github.com/jonboulle/clockwork	v0.1.0
github.com/kr/pretty	v0.1.0
github.com/mitchellh/go-homedir	v1.1.0
github.com/mitchellh/mapstructure	v1.1.2
github.com/pierrec/lz4	v2.0.5%2Bincompatible
github.com/pkg/errors	v0.8.1
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v0.9.3-0.20190127221311-3c4408c8b829
github.com/prometheus/client_model	v0.0.0-20190129233127-fd36f4220a90
github.com/ryanuber/go-glob	v1.0.0
github.com/soheilhy/cmux	v0.1.4
github.com/stretchr/testify	v1.4.0
github.com/tmc/grpc-websocket-proxy	v0.0.0-20190109142713-0ad062ec5ee5
github.com/ugorji/go	v1.1.4
github.com/xiang90/probing	v0.0.0-20190116061207-43a291ad63a2
golang.org/x/crypto	v0.0.0-20190506204251-e1dfcc566284
golang.org/x/net	v0.0.0-20190620200207-3b0461eec859
golang.org/x/sys	v0.0.0-20190508220229-2d0786266e9c
golang.org/x/text	v0.3.1-0.20181227161524-e6919f6577db
golang.org/x/time	v0.0.0-20190308202827-9d24e82272b4
google.golang.org/genproto	v0.0.0-20190404172233-64821d5d2107
google.golang.org/grpc	v1.22.0
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/square/go-jose.v2	v2.3.1
gopkg.in/yaml.v2	v2.2.2
