github.com/AlecAivazis/survey/v2	v2.2.9
github.com/DATA-DOG/go-sqlmock	v1.5.2
github.com/Masterminds/semver/v3	v3.1.1
github.com/apex/log	v1.9.0
github.com/cpuguy83/go-md2man/v2	v2.0.0
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.18.0
github.com/favadi/protoc-go-inject-tag	v1.3.0
github.com/google/go-cmp	v0.6.0
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-secure-stdlib/base62	v0.1.2
github.com/hashicorp/go-uuid	v1.0.3
github.com/jackc/pgpassfile	v1.0.0
github.com/jackc/pgservicefile	v0.0.0-20240606120523-5a60cdf6a761
github.com/jackc/pgx/v5	v5.9.2
github.com/jackc/puddle/v2	v2.2.2
github.com/jinzhu/inflection	v1.0.0
github.com/jinzhu/now	v1.1.5
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/kr/pretty	v0.3.0
github.com/kr/pty	v1.1.8
github.com/kr/text	v0.2.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-sqlite3	v1.14.28
github.com/mgutz/ansi	v0.0.0-20170206155736-9520e82c474b
github.com/oligot/go-mod-upgrade	v0.6.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/rogpeppe/go-internal	v1.8.1-0.20211023094830-115ce09fd6b4
github.com/russross/blackfriday/v2	v2.0.1
github.com/shurcooL/sanitized_anchor_name	v1.0.0
github.com/stretchr/testify	v1.11.1
github.com/urfave/cli/v2	v2.3.0
github.com/xo/dburl	v0.23.7
golang.org/x/crypto	v0.52.0
golang.org/x/mod	v0.35.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/telemetry	v0.0.0-20260409153401-be6f6cb8b1fa
golang.org/x/term	v0.43.0
golang.org/x/text	v0.37.0
golang.org/x/tools	v0.44.0
google.golang.org/protobuf	v1.34.2
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
gorm.io/driver/postgres	v1.5.11
gorm.io/driver/sqlite	v1.5.7
gorm.io/gorm	v1.25.12
mvdan.cc/gofumpt	v0.2.0
