github.com/cpuguy83/go-md2man/v2	v2.0.0-20190314233015-f79a8a8ca69d
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.7.0
github.com/fsnotify/fsnotify	v1.4.9
github.com/git-chglog/git-chglog	v0.0.0-20200414013904-db796966b373
github.com/go-pg/pg/v10	v10.5.0
github.com/go-pg/zerochecker	v0.2.0
github.com/google/go-cmp	v0.5.2
github.com/imdario/mergo	v0.3.8
github.com/jinzhu/inflection	v1.0.0
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/kr/text	v0.1.0
github.com/mattn/go-colorable	v0.1.4
github.com/mattn/go-isatty	v0.0.8
github.com/mattn/goveralls	v0.0.6
github.com/mgutz/ansi	v0.0.0-20170206155736-9520e82c474b
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/nxadm/tail	v1.4.4
github.com/onsi/ginkgo	v1.14.2
github.com/onsi/gomega	v1.10.3
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday/v2	v2.0.1
github.com/shurcooL/sanitized_anchor_name	v1.0.0
github.com/stretchr/testify	v1.6.1
github.com/tmthrgd/go-hex	v0.0.0-20190904060850-447a3041c3bc
github.com/tsuyoshiwada/go-gitcmd	v0.0.0-20180205145712-5f1f5f9475df
github.com/urfave/cli	v1.22.1
github.com/vmihailenco/bufpool	v0.1.11
github.com/vmihailenco/msgpack/v5	v5.0.0-beta.8
github.com/vmihailenco/tagparser	v0.1.2
go.opentelemetry.io/otel	v0.13.0
golang.org/x/crypto	v0.28.0
golang.org/x/net	v0.21.0
golang.org/x/sys	v0.26.0
golang.org/x/text	v0.19.0
golang.org/x/tools	v0.0.0-20200522201501-cb1345f3a375
golang.org/x/xerrors	v0.0.0-20191204190536-9bdfabe68543
gopkg.in/AlecAivazis/survey.v1	v1.8.7
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/kyokomi/emoji.v1	v1.5.1
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.3.0
gopkg.in/yaml.v3	v3.0.1
mellium.im/sasl	v0.3.2
