github.com/armon/go-metrics	v0.4.1
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/expr-lang/expr	v1.17.5
github.com/fatih/color	v1.18.0
github.com/go-errr/go	v1.0.12
github.com/go-external-config/go	v1.0.36
github.com/go-viper/mapstructure/v2	v2.4.0
github.com/google/btree	v1.0.1
github.com/google/go-cmp	v0.7.0
github.com/hashicorp/consul/api	v1.34.2
github.com/hashicorp/consul/sdk	v0.18.1
github.com/hashicorp/errwrap	v1.1.0
github.com/hashicorp/go-cleanhttp	v0.5.2
github.com/hashicorp/go-hclog	v1.6.3
github.com/hashicorp/go-immutable-radix	v1.3.1
github.com/hashicorp/go-msgpack	v0.5.5
github.com/hashicorp/go-multierror	v1.1.1
github.com/hashicorp/go-rootcerts	v1.0.2
github.com/hashicorp/go-sockaddr	v1.0.7
github.com/hashicorp/go-uuid	v1.0.3
github.com/hashicorp/go-version	v1.2.1
github.com/hashicorp/golang-lru	v0.5.4
github.com/hashicorp/memberlist	v0.5.0
github.com/hashicorp/serf	v0.10.1
github.com/kr/pretty	v0.1.0
github.com/kr/text	v0.2.0
github.com/magiconair/properties	v1.8.10
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/miekg/dns	v1.1.41
github.com/mitchellh/go-homedir	v1.1.0
github.com/pascaldekloe/goe	v0.1.0
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/sean-/seed	v0.0.0-20170313163322-e2103e2c3529
github.com/stretchr/objx	v0.5.0
github.com/stretchr/testify	v1.11.1
golang.org/x/exp	v0.0.0-20260218203240-3dfff04db8fa
golang.org/x/net	v0.51.0
golang.org/x/sys	v0.41.0
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v3	v3.0.1
