github.com/gen2brain/shm v0.1.0
github.com/go-vgo/robotgo v1.0.0-rc2.1
github.com/jezek/xgb v1.1.0
github.com/kbinani/screenshot v0.0.0-20230812210009-b87d31814237
github.com/prashantgupta24/mac-sleep-notifier v1.0.1
github.com/robotn/gohook v0.41.0
github.com/robotn/xgb v0.0.0-20190912153532-2cb92d044934
github.com/robotn/xgbutil v0.0.0-20190912154524-c861d6f87770
github.com/shirou/gopsutil/v3 v3.23.9
github.com/sirupsen/logrus v1.9.3
github.com/tklauser/go-sysconf v0.3.12
github.com/tklauser/numcpus v0.6.1
github.com/vcaesar/gops v0.30.2
github.com/vcaesar/imgo v0.40.0
github.com/vcaesar/keycode v0.10.1
github.com/vcaesar/tt v0.20.0
golang.org/x/image v0.13.0
golang.org/x/sys v0.13.0
