github.com/agiledragon/gomonkey/v2	v2.8.0
github.com/anqiansong/sqlgen/example	
github.com/benbjohnson/clock	v1.3.0
github.com/burntsushi/toml	v1.2.0
github.com/cznic/mathutil	v0.0.0-20181122101859-297441e03548
github.com/data-dog/go-sqlmock	v1.5.0
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.13.0
github.com/go-logr/logr	v1.2.3
github.com/go-logr/stdr	v1.2.2
github.com/go-sql-driver/mysql	v1.6.0
github.com/goccy/go-json	v0.8.1
github.com/golang/mock	v1.6.0
github.com/golang/protobuf	v1.5.2
github.com/golang/snappy	v0.0.4
github.com/iancoleman/strcase	v0.2.0
github.com/inconshreveable/mousetrap	v1.0.0
github.com/jinzhu/inflection	v1.0.0
github.com/jinzhu/now	v1.1.5
github.com/jmoiron/sqlx	v1.3.5
github.com/json-iterator/go	v1.1.12
github.com/mattn/go-colorable	v0.1.12
github.com/mattn/go-isatty	v0.0.14
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/openzipkin/zipkin-go	v0.4.0
github.com/pelletier/go-toml/v2	v2.0.2
github.com/pingcap/check	v0.0.0-20200212061837-5e12011dc712
github.com/pingcap/errors	v0.11.5-0.20210425183316-da1aaba5fb63
github.com/pingcap/log	v1.1.0
github.com/pingcap/parser	v0.0.0-20220622031236-3bca03d3057b
github.com/pmezard/go-difflib	v1.0.0
github.com/remyoudompheng/bigfft	v0.0.0-20200410134404-eec4a21b6bb0
github.com/satori/go.uuid	v1.2.0
github.com/shopspring/decimal	v1.2.0
github.com/spaolacci/murmur3	v1.1.0
github.com/spf13/cobra	v1.5.0
github.com/spf13/pflag	v1.0.5
github.com/stretchr/testify	v1.7.0
github.com/stretchr/testify	v1.8.0
github.com/syndtr/goleveldb	v1.0.0
github.com/tmthrgd/go-hex	v0.0.0-20190904060850-447a3041c3bc
github.com/uptrace/bun	v1.1.7
github.com/uptrace/bun/dialect/mysqldialect	v1.1.7
github.com/uptrace/bun/extra/bundebug	v1.1.7
github.com/vmihailenco/msgpack/v5	v5.3.5
github.com/vmihailenco/tagparser/v2	v2.0.0
github.com/zeromicro/go-zero	v1.3.5
go.opentelemetry.io/otel	v1.8.0
go.opentelemetry.io/otel/exporters/jaeger	v1.8.0
go.opentelemetry.io/otel/exporters/zipkin	v1.8.0
go.opentelemetry.io/otel/sdk	v1.8.0
go.opentelemetry.io/otel/trace	v1.8.0
go.uber.org/atomic	v1.9.0
go.uber.org/automaxprocs	v1.5.1
go.uber.org/multierr	v1.8.0
go.uber.org/zap	v1.21.0
golang.org/x/mod	v0.5.1
golang.org/x/mod	v0.6.0-dev.0.20220419223038-86c51ed26bb4
golang.org/x/sys	v0.0.0-20220727055044-e65921a090b8
golang.org/x/sys	v0.0.0-20220728004956-3c1f35247d10
golang.org/x/text	v0.3.7
golang.org/x/tools	v0.1.12
google.golang.org/grpc	v1.48.0
google.golang.org/protobuf	v1.28.0
gopkg.in/natefinch/lumberjack.v2	v2.0.0
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
gopkg.in/yaml.v3	v3.0.1
gorm.io/driver/mysql	v1.3.6
gorm.io/gorm	v1.23.8
xorm.io/builder	v0.3.12
xorm.io/xorm	v1.3.1
