github.com/davecgh/go-spew	v1.1.1
github.com/go-sql-driver/mysql	v1.4.1
github.com/golang/protobuf	v1.3.1
github.com/lann/builder	v0.0.0-20180802200727-47ae307949d0
github.com/lann/ps	v0.0.0-20150810152359-62de8c46ede0
github.com/lib/pq	v1.2.0
github.com/masterminds/squirrel/integration	
github.com/mattn/go-sqlite3	v1.13.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.2.2
github.com/stretchr/testify	v1.4.0
golang.org/x/crypto	v0.0.0-20190308221718-c2843e01d9a2
golang.org/x/net	v0.0.0-20190603091049-60506f45cf65
golang.org/x/sys	v0.0.0-20190215142949-d0b11bdaac8a
golang.org/x/text	v0.3.2
golang.org/x/tools	v0.0.0-20180917221912-90fa682c2a6e
google.golang.org/appengine	v1.6.5
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v2	v2.2.2
